Throughout ^in++++=Throughout
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
twentieth ^od++++=twentieth
century ^nn++++=century,
, ^zz++++=EXTRAWORD
research ^nn++++=research
in ^in++++=in
the ^ati++++=the
sociolinguistics ^nns++++=sociolinguistics
of ^in++++=of
multilingualism ^nn+nom+++=multilingualism
primarily ^rb+down+++=primarily
focused ^vbd+++xvbn+=focused
on ^in++++=on
documenting ^xvbg+++xvbg+=documenting
patterns ^nns++++=patterns
of ^in++++=of
language ^nn+nom+++=language
use ^nn++++=use
within ^in++++=within
local ^jj+atrb+++=local
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
typically ^rb++splt++=typically
conceptualized ^vpsv++agls+xvbnx+=conceptualized
as ^ql++++=as
stable ^nn++++=stable,
, ^zz++++=EXTRAWORD
homogeneous ^jj++++=homogeneous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clearly ^rb++++=clearly
bounded ^vbd+++xvbn+=bounded
entities ^nns+nom+++=entities.
. ^zz++++=EXTRAWORD
Pratt ^np+++??+=Pratt
( ^zz++++=(1987,
1987 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
60 ^cd++++=60)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
among ^in++++=among
the ^ati++++=the
first ^rb++++=first
to ^in++++=to
advocate ^nn+nom+++=advocate
for ^in++++=for
a ^at++++=a
shift ^nn++++=shift
away ^in+pl+++=away
from ^in"++++=from
this ^dt+dem+++=this
community ^nn+nom+++=community-centered
- ^zz++++=EXTRAWORD
centered ^vbd+++xvbn+=EXTRAWORD
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
proposing ^vbg+++xvbg+=proposing
instead ^rb+cnj+++=instead
a ^at++++=a
" ^zz++++="linguistics
linguistics ^nn++++=EXTRAWORD
of ^in++++=of
contact ^nn++++=contact."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
argued ^vbd+vpub++xvbnx+=argued
that ^tht+vcmp+++=that
this ^dt+dem+++=this
approach ^nn++++=approach
would ^md+prd+++=would
prioritize ^vb++++=prioritize
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
interactions ^nns+nom+++=interactions
and ^cc++++=and
contact ^nn++++=contact
zones ^nns++++=zones
between ^in++++=between
dominant ^jj+atrb+++=dominant
and ^cc+phrs+++=and
subordinate ^jj+atrb+++=subordinate
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
with ^in++++=with
diverse ^jj+atrb+++=diverse
and ^cc+phrs+++=and
multiple ^jj+atrb+++=multiple
identities ^nns+nom+++=identities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
speakers ^nns+nom+++=speakers
of ^in++++=of
different ^jj+atrb+++=different
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
