During ^in++++=During
our ^pp$+pp1+++=our
fieldwork ^nn+++??+=fieldwork,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
six ^cd++++=six
capoeira ^nn+++??+=capoeira
classes ^nns++++=classes
held ^vbd+vprv++xvbn+=held
at ^rb++++=at
a ^at++++=a
community ^nn+nom+++=community
centre ^jjb++++=centre,
, ^zz++++=EXTRAWORD
each ^dt++++=each
occurring ^jj+atrb++xvbg+=occurring
one ^cd1++++=one
evening ^nn++++=evening
per ^in++++=per
week ^nn++++=week
and ^cc++++=and
occasionally ^rb++++=occasionally
followed ^vpsv++by+xvbn+=followed
by ^in++++=by
informal ^jj+atrb+++=informal
social ^jj+atrb+++=social
gatherings ^nns+++??+=gatherings
at ^rb++++=at
a ^at++++=a
nearby ^jjb+atrb+++=nearby
club ^nn++++=club.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
attended ^vbd+++xvbn+=attended
two ^cd++++=two
capoeira ^nn+++??+=capoeira
workshops ^nns++++=workshops
led ^vwbn+++xvbn+=led
by ^in++++=by
visiting ^xvbg+++xvbg+=visiting
mestres ^nns+++??+=mestres
invited ^vwbn+++xvbn+=invited
by ^in++++=by
Sandro ^np+++??+=Sandro;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
workshop ^nn++++=workshop
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
a ^at++++=a
community ^nn+nom+++=community
centre ^jjb++++=centre
in ^in++++=in
Leeds ^np++++=Leeds
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
in ^in++++=in
a ^at++++=a
church ^npl++++=church
hall ^npl++++=hall
in ^in++++=in
York ^np++++=York.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
workshops ^nns++++=workshops
lasted ^vbd+++xvbn+=lasted
approximately ^rb+down+++=approximately
four ^cd++++=four
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
at ^rb++++=at
2:00 ^cd++++=2:00
pm ^nn+++??+=pm
and ^cc++++=and
concluding ^jj+++xvbg+=concluding
around ^rp++++=around
6:00 ^cd++++=6:00
pm ^nn+++??+=pm.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
these ^dt+dem+++=these
workshops ^nns++++=workshops,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
further ^jjb+atrb+++=further
social ^jj+atrb+++=social
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
meal ^nn++++=meal
at ^in++++=at
a ^at++++=a
local ^jj+atrb+++=local
pub ^nn++++=pub
after ^in++++=after
one ^cd1++++=one
session ^nn++++=session
and ^cc++++=and
a ^at++++=a
gathering ^jj+++xvbg+=gathering
at ^rb++++=at
a ^at++++=a
student ^nn++++=student
s ^zz++++=s
residence ^nn+nom+++=residence
featuring ^vwbg+++xvbg+=featuring
Brazilian ^jj+atrb+++=Brazilian
cuisine ^nn++++=cuisine
after ^in++++=after
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
observed ^vbd+vprv+tht0+xvbn+=observed
a ^at++++=a
roda ^nn++++=roda
organized ^vbd+++xvbn+=organized
on ^in++++=on
a ^at++++=a
weekend ^nn++++=weekend,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
attended ^vpsv++by+xvbn+=attended
by ^in++++=by
Sandro ^np+++??+=Sandro
s ^zz++++=s
students ^nns++++=students
from ^in++++=from
Leeds ^np++++=Leeds
and ^cc++++=and
York ^np++++=York,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
held ^vbd+vprv++xvbn+=held
in ^in++++=in
an ^at++++=an
afro ^np++++=Afro-Cuban
- ^zz++++=EXTRAWORD
cuban ^jj++++=EXTRAWORD
drumming ^vbg+++xvbg+=drumming
studio ^nn++++=studio.
. ^zz++++=EXTRAWORD
