If ^cs+cnd+++=If
culturing ^jj+++xvbg+=culturing
and ^cc++++=and
Dna ^np+++??+=DNA
extraction ^nn+nom+++=extraction
are ^vb+ber+aux++=are
performed ^vpsv++agls+xvbnx+=performed
multiple ^jj+atrb+++=multiple
times ^nns++++=times,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
separately ^rb++++=separately
for ^in++++=for
Oxford ^np++++=Oxford
Nanopore ^np+++??+=Nanopore
Technologies ^np+++??+=Technologies
( ^zz++++=(ONT)
ont ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Illumina ^np+++??+=Illumina
sequencing ^vwbg+++xvbg+=sequencing,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
risk ^nn++++=risk
of ^in++++=of
introducing ^xvbg+++xvbg+=introducing
genomic ^jj+atrb+++=genomic
differences ^nns+nom+++=differences
between ^in++++=between
the ^ati++++=the
resulting ^jj+++xvbg+=resulting
Dna ^np+++??+=DNA
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
discrepancies ^nns++++=discrepancies
can ^md+pos+++=can
complicate ^nn+nom+++=complicate
downstream ^rb+pl+++=downstream
processes ^nns+nom+++=processes
such ^abl++++=such
as ^ql++++=as
genome ^nn+++??+=genome
polishing ^vwbg+++xvbg+=polishing.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
advisable ^vb+pred+++=advisable
to ^to+vcmp+++=to
use ^vbi++++=use
a ^at++++=a
single ^jj+atrb+++=single
Dna ^np+++??+=DNA
extract ^nn++++=extract
for ^in++++=for
all ^abn++++=all
sequencing ^xvbg+++xvbg+=sequencing
runs ^vbz++++=runs
to ^to++++=to
ensure ^vbi+vprv+++=ensure
consistency ^nn++++=consistency.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
storing ^vbg+++xvbg+=storing
extra ^jj+atrb+++=extra
Dna ^np+++??+=DNA
or ^cc++++=or
bacterial ^jj+atrb+++=bacterial
pellets ^nns+nom+++=pellets
by ^in++++=by
freezing ^nn++++=freezing
may ^md+pos+++=may
be ^vb+be+vrb++=be
beneficial ^jj+pred+++=beneficial
in ^in++++=in
case ^nn++++=case
further ^jjb+atrb+++=further
sequencing ^nn++++=sequencing
becomes ^vbz++++=becomes
necessary ^jj++++=necessary.
. ^zz++++=EXTRAWORD
