Learning ^vbg+vprv++xvbg+=Learning
through ^in++++=through
capoeira ^nn+++??+=capoeira
can ^md+pos+++=can
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
a ^at++++=a
process ^nns+nom+++=process
that ^tht+rel+obj++=that
integrates ^nns+nom+++=integrates
verbal ^jj++++=verbal,
, ^zz++++=EXTRAWORD
embodied ^xvbn+++xvbn+=embodied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
musical ^jj+atrb+++=musical
elements ^nns+nom+++=elements
into ^in++++=into
a ^at++++=a
cohesive ^jj+atrb+++=cohesive
assemblage ^nn+nom+++=assemblage.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
recognizes ^vbz+vprv+++=recognizes
that ^tht+vcmp+++=that
capoeira ^nn+++??+=capoeira
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
solely ^rb++++=solely
a ^at++++=a
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
but ^cc++++=but
also ^rb++++=also
involves ^vbz++++=involves
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
each ^dt++++=each
contributing ^jj+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
overall ^jjb+atrb+++=overall
learning ^jj+atrb++xvbg+=learning
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
Verbal ^jj+atrb+++=Verbal
communication ^nn+nom+++=communication
occurs ^vbz++++=occurs
through ^in++++=through
the ^ati++++=the
exchange ^nn++++=exchange
of ^in++++=of
instructions ^nns+nom+++=instructions,
, ^zz++++=EXTRAWORD
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dialogue ^nn++++=dialogue
among ^in++++=among
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
facilitating ^vbg+++xvbg+=facilitating
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
cultural ^jj+atrb+++=cultural
knowledge ^nn++++=knowledge
and ^cc++++=and
technical ^jj+atrb+++=technical
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
Embodied ^xvbn+++xvbn+=Embodied
learning ^vbg+vprv++xvbg+=learning
is ^vbz+bez+vrb++=is
evident ^jj+pred+++=evident
in ^in++++=in
the ^ati++++=the
physical ^jj+atrb+++=physical
execution ^nn+nom+++=execution
of ^in++++=of
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
motor ^nn++++=motor
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
adaptation ^nn+nom+++=adaptation
to ^in++++=to
the ^ati++++=the
dynamic ^jj+atrb+++=dynamic
interactions ^nns+nom+++=interactions
within ^in++++=within
the ^ati++++=the
roda ^nn+++??+=roda.
. ^zz++++=EXTRAWORD
Musical ^jj+atrb+++=Musical
components ^nns++++=components,
, ^zz++++=EXTRAWORD
including ^in++++=including
rhythm ^nn++++=rhythm,
, ^zz++++=EXTRAWORD
melody ^nn++++=melody,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
instrumentation ^nn+nom+++=instrumentation,
, ^zz++++=EXTRAWORD
provide ^vb+vsua+++=provide
structure ^nn++++=structure
and ^cc++++=and
context ^nn++++=context,
, ^zz++++=EXTRAWORD
guiding ^vbg+++xvbg+=guiding
the ^ati++++=the
tempo ^nn++++=tempo
and ^cc++++=and
style ^nn++++=style
of ^in++++=of
play ^nn++++=play
while ^cs+sub+++=while
reinforcing ^vbg+++xvbg+=reinforcing
communal ^jj+atrb+++=communal
bonds ^nns++++=bonds.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
elements ^nns+nom+++=elements
form ^vb++++=form
an ^at++++=an
interconnected ^jj+atrb++xvbn+=interconnected
system ^nn++++=system
in ^in++++=in
which ^whp+rel+pied++=which
learning ^nvbg+++xvbg+=learning
is ^vbz+bez+aux++=is
distributed ^vpsv++agls+xvbnx+=distributed
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
modalities ^nns+nom+++=modalities,
, ^zz++++=EXTRAWORD
highlighting ^jj+++xvbg+=highlighting
the ^ati++++=the
complex ^jj+atrb+++=complex
and ^cc+phrs+++=and
multifaceted ^jj+atrb+++=multifaceted
nature ^nn++++=nature
of ^in++++=of
capoeira ^nn++++=capoeira
as ^ql++++=as
a ^at++++=a
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
