Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
initiatives ^nns++++=initiatives
that ^tht+rel+subj++=that
improve ^vb++++=improve
students ^nns++++=students'
' ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
knowledge ^nn++++=knowledge
about ^in++++=about
the ^ati++++=the
digital ^jj+atrb+++=digital
world ^nn++++=world
and ^cc++++=and
digital ^jj+atrb+++=digital
culture ^nn++++=culture
practices ^nns++++=practices
should ^md+nec+++=should
be ^vb+be+aux++=be
prioritized ^vpsv++agls+xvbnx+=prioritized,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
direct ^jj+atrb+++=direct
or ^cc+phrs+++=or
indirect ^jj+atrb+++=indirect
impact ^nn++++=impact
on ^in++++=on
students ^nns++++=students'
' ^zz++++=EXTRAWORD
daily ^jj+atrb+++=daily
lives ^nns++++=lives
across ^in+pl+++=across
various ^jj+atrb+++=various
social ^jj+atrb+++=social
contexts ^nns++++=contexts
and ^cc++++=and
foster ^jjb++++=foster
their ^pp$+pp3+++=their
interest ^nn++++=interest
in ^in++++=in
and ^cc++++=and
identification ^nn+nom+++=identification
with ^in++++=with
digital ^jj+atrb+++=digital
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(DICT).
dict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
integration ^nn+nom+++=integration
of ^in++++=of
these ^dt+dem+++=these
technologies ^nns+++??+=technologies
in ^in++++=in
educational ^jj+atrb+++=educational
settings ^nns++++=settings
facilitates ^nns+nom+++=facilitates
both ^abx++++=both
technical ^jj+atrb+++=technical
and ^cc+phrs+++=and
critical ^jj+atrb+++=critical
engagement ^nn+nom+++=engagement
with ^in++++=with
digital ^jj+atrb+++=digital
resources ^nns++++=resources
and ^cc++++=and
contributes ^vbz++++=contributes
to ^in++++=to
meaningful ^jj+atrb+++=meaningful
and ^cc+phrs+++=and
autonomous ^jj+atrb+++=autonomous
student ^nn++++=student
learning ^vwbg+vprv++xvbg+=learning
( ^zz++++=(BNCC,
bncc ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
487 ^cd++++=487,
, ^zz++++=EXTRAWORD
emphasis ^nn++++=emphasis
added ^vbd+vpub++xvbn+=added).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
