Dennstaedtiaceae ^np+++??+=Dennstaedtiaceae,
, ^zz++++=EXTRAWORD
Lindsaeaceae ^np+++??+=Lindsaeaceae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saccolomataceae ^np+++??+=Saccolomataceae
are ^vb+ber+aux++=are
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
a ^at++++=a
total ^nn++++=total
of ^in++++=of
four ^cd++++=four
genera ^nns++++=genera
and ^cc++++=and
six ^cd++++=six
species ^nn++++=species
in ^in++++=in
the ^ati++++=the
Vi ^np+++??+=Vi
osa ^nn+++??+=osa
region ^nn++++=region.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
of ^in++++=of
these ^dt+dem+++=these
species ^nn++++=species
include ^vb++++=include
infra ^nn+++??+=infra-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
classifications ^nns+nom+++=classifications,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
The ^ati++++=The
six ^cd++++=six
taxa ^vb+++??+=taxa
identified ^vbd+++xvbn+=identified
are ^vb+ber+vrb++=are:
: ^zz++++=EXTRAWORD
Dennstaedtia ^np+++??+=Dennstaedtia
cicutaria ^nn+++??+=cicutaria
( ^zz++++=(Sw.)
sw ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Moore ^np++++=Moore
and ^cc++++=and
Pteridium ^np+++??+=Pteridium
esculentum ^nn+++??+=esculentum
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
arachnoideum ^nn+++??+=arachnoideum
( ^zz++++=(Kaulf.)
kaulf ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
J.a ^np+++??+=J.A.
. ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
( ^zz++++=(Dennstaedtiaceae);
dennstaedtiaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Lindsaea ^np+++??+=Lindsaea
lancea ^nn+++??+=lancea
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Bedd ^np+++??+=Bedd.
. ^zz++++=EXTRAWORD
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
quadrangularis ^nns+++??+=quadrangularis
