Regarding ^in++++=Regarding
the ^ati++++=the
continuing ^jj+atrb++xvbg+=continuing
education ^nn+nom+++=education
of ^in++++=of
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
Marinho ^np+++??+=Marinho
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf++tht0+xvbn+=found
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
certain ^jj+atrb+++=certain
government ^nn+nom+++=government
programs ^nns+++??+=programs
were ^vbd+bed+vrb++=were
widely ^rb++++=widely
available ^jj+pred+++=available,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
reach ^nn++++=reach
was ^vbd+bedz+aux++=was
limited ^vpsv++agls+xvbnx+=limited.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
programs ^nns+++??+=programs
primarily ^rb+down+++=primarily
provided ^xvbn+++xvbn+=provided
initial ^jj+atrb+++=initial
training ^nn++++=training
for ^in++++=for
most ^ql+emph+++=most
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
greater ^jjr+atrb+++=greater
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
update ^vb++++=update
existing ^jj+atrb++xvbg+=existing
training ^nn++++=training
and ^cc++++=and
to ^to++++=to
implement ^nn+nom+++=implement
more ^rbr++++=more
comprehensive ^jj++++=comprehensive
and ^cc++++=and
sustained ^xvbn+++xvbn+=sustained
ongoing ^jj+atrb+++=ongoing
professional ^jj+atrb+++=professional
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
