This ^dt+pdem+++=This
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
human ^jj+atrb+++=human
psychophysiology ^nn+++??+=psychophysiology
can ^md+pos+++=can
proceed ^vb++++=proceed
along ^in++++=along
two ^cd++++=two
primary ^jj+atrb+++=primary
directions ^nns+nom+++=directions:
: ^zz++++=EXTRAWORD
organic ^jj+atrb+++=organic
psychophysiology ^nn+++??+=psychophysiology,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seeks ^vbz++++=seeks
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
brain ^nn++++=brain
functioning ^vwbg+++xvbg+=functioning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
activity ^nn+nom+++=activity
psychophysiology ^nn+++??+=psychophysiology,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
focuses ^vbz++++=focuses
on ^in++++=on
describing ^xvbg+++xvbg+=describing
and ^cc++++=and
explaining ^xvbg+++xvbg+=explaining
the ^ati++++=the
mental ^jj+atrb+++=mental
processes ^nns+nom+++=processes
underlying ^vwbg+++xvbg+=underlying
human ^jj+atrb+++=human
actions ^nns+nom+++=actions.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
approaches ^nns++++=approaches
are ^vb+ber+aux++=are
encompassed ^vpsv++agls+xvbnx+=encompassed
within ^in++++=within
cognitive ^jj+atrb+++=cognitive
neuroscience ^nn+nom+++=neuroscience,
, ^zz++++=EXTRAWORD
a ^at++++=a
field ^nn++++=field
dedicated ^vbd+++xvbn+=dedicated
to ^in++++=to
the ^ati++++=the
scientific ^jj+atrb+++=scientific
investigation ^nn+nom+++=investigation
of ^in++++=of
the ^ati++++=the
biological ^jj+atrb+++=biological
mechanisms ^nns+nom+++=mechanisms
underlying ^vwbg+++xvbg+=underlying
cognition ^nn+nom+++=cognition,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
emphasis ^nn++++=emphasis
on ^in++++=on
the ^ati++++=the
neural ^jj+atrb+++=neural
substrates ^nns+nom+++=substrates
of ^in++++=of
mental ^jj+atrb+++=mental
processes ^nns+nom+++=processes
and ^cc++++=and
their ^pp$+pp3+++=their
behavioral ^jj+atrb+++=behavioral
manifestations ^nns+nom+++=manifestations.
. ^zz++++=EXTRAWORD
