Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
35 ^cd++++=35
80 ^cd++++=80
cm ^nnu++++=cm
in ^in++++=in
length ^nn++++=length;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
15 ^cd++++=15
50 ^cd++++=50
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
brown ^jj++++=brown
proximally ^rb++++=proximally
and ^cc++++=and
stramineous ^jj++++=stramineous
distally ^rb+cnj+++=distally,
, ^zz++++=EXTRAWORD
abaxially ^rb++++=abaxially
terete ^jj+++??+=terete
and ^cc++++=and
adaxially ^rb++++=adaxially
flattened ^vbd+++xvbn+=flattened,
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
acuminate ^nn+nom+++=acuminate
scales ^nns++++=scales
near ^in+pl+++=near
the ^ati++++=the
base ^nn++++=base;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
20 ^cd++++=20
35 ^cd++++=35
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
2 ^zz++++=2-pinnate,
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
occasionally ^rb++++=occasionally
1or ^cd++++=1or
3 ^zz++++=3-pinnate;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
not ^xnot++not++=not
winged ^jj++++=winged,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous,
, ^zz++++=EXTRAWORD
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
becoming ^jj+++xvbg+=becoming
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
12 ^cd++++=12
25 ^cd++++=25
cm ^nnu++++=cm
1 ^zz++++=1
2 ^zz++++=2
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
short ^jj++++=short-petiolate,
- ^zz++++=EXTRAWORD
petiolate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dimidiate ^nn+nom+++=dimidiate
or ^cc++++=or
flabellate ^nn+nom+++=flabellate,
, ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
1 ^zz++++=1
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
on ^in++++=on
both ^abx++++=both
abaxial ^jj+atrb+++=abaxial
and ^cc+phrs+++=and
adaxial ^jj+atrb+++=adaxial
surfaces ^nns++++=surfaces
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
veins ^nns++++=veins
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
sori ^jj+++??+=sori
interrupted ^jj+++xvbn+=interrupted,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn++++=indusia
membranaceous ^jj++++=membranaceous,
, ^zz++++=EXTRAWORD
with ^in++++=with
dentate ^nn+nom+++=dentate,
, ^zz++++=EXTRAWORD
glabrous ^jj+atrb+++=glabrous
margins ^nns++++=margins.
. ^zz++++=EXTRAWORD
