Two ^cd++++=Two
local ^jj+atrb+++=local
employment ^nn+nom+++=employment
agencies ^nns++++=agencies
serve ^vb++++=serve
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
intermediaries ^nns++++=intermediaries
for ^in++++=for
individuals ^nns+nom+++=individuals
seeking ^vwbg+++xvbg+=seeking
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Timorese ^np+nom++??+=Timorese
migrants ^nns+nom+++=migrants
who ^whp+rel+subj++=who
arrived ^vbd+++xvbn+=arrived
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
groups ^nns++++=groups
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
secure ^vb++++=secure
employment ^nn+nom+++=employment
immediately ^rb+tm+++=immediately
and ^cc++++=and
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
travel ^nn++++=travel
expenses ^nns++++=expenses
from ^in++++=from
Portugal ^np+nom+++=Portugal
covered ^vbd+++xvbn+=covered
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
Rs ^np+++??+=RS
and ^cc++++=and
Ha ^uh++++=HA,
, ^zz++++=EXTRAWORD
June ^nr++++=June
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
more ^rbr++++=more
recent ^jj+atrb+++=recent
arrivals ^nns+nom+++=arrivals
typically ^rb++++=typically
experience ^nn+nom+++=experience
a ^at++++=a
waiting ^jj+atrb++xvbg+=waiting
period ^nn++++=period
of ^in++++=of
approximately ^rb+down+++=approximately
5 ^zz++++=5
to ^to++++=to
8 ^zz++++=8
months ^nns++++=months
before ^in++++=before
obtaining ^xvbg+++xvbg+=obtaining
full ^jj++++=full-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
positions ^nns+nom+++=positions.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
notable ^jj+atrb+++=notable
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
casualization ^nn+nom+++=casualization
of ^in++++=of
employment ^nn+nom+++=employment,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
newcomers ^nns+nom+++=newcomers
initially ^rb+tm+++=initially
being ^xvbg+++xvbg+=being
offered ^vbd+++xvbn+=offered
part ^nn++++=part-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
work ^nn++++=work
on ^in++++=on
an ^at++++=an
irregular ^jj+atrb+++=irregular
basis ^nn++++=basis.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
interviewee ^nn+nom+++=interviewee
described ^vbd+++xvbn+=described
the ^ati++++=the
insecurity ^nn+nom+++=insecurity
and ^cc++++=and
anxiety ^nn++++=anxiety
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
himself ^ppl+pp3+++=himself
and ^cc++++=and
his ^pp$+pp3+++=his
colleagues ^nns++++=colleagues
over ^in++++=over
an ^at++++=an
eight ^cd++++=eight-month
- ^zz++++=EXTRAWORD
month ^nn++++=EXTRAWORD
period ^nn++++=period
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
precarious ^jj+atrb+++=precarious
nature ^nn++++=nature
of ^in++++=of
their ^pp$+pp3+++=their
employment ^nn+nom+++=employment,
, ^zz++++=EXTRAWORD
stating ^vbg+vpub++xvbg+=stating,
, ^zz++++=EXTRAWORD
Ne ^&fw++++=Ne
eb ^nn+++??+=eb
telefone ^nn+++??+=telefone
ami ^&fw++++=ami
tau ^nn+++??+=tau
deit ^nn+++??+=deit
iha ^nn+++??+=iha
ulun ^nn+++??+=ulun
leten ^vbd+++xvbn+=leten
kualk ^nn+++??+=kualk
r ^zz++++=r
tempu ^nn+++??+=tempu
deit ^nn+++??+=deit
[ ^zz++++=[sira]
sira ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
liga ^nn+++??+=liga
ona ^nn+++??+=ona
( ^zz++++=(We
we ^pp1a+pp1+++=EXTRAWORD
slept ^vbd+++xvbn+=slept
with ^in++++=with
our ^pp$+pp1+++=our
phones ^nns++++=phones
above ^rb++++=above
our ^pp$+pp1+++=our
heads ^nns++++=heads
they ^pp3a+pp3+++=they
could ^md+pos+++=could
call ^vb++++=call
us ^pp1o+pp1+++=us
at ^in++++=at
any ^dti++++=any
time ^nn++++=time)
) ^zz++++=EXTRAWORD
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
Cx ^np+++??+=CX,
, ^zz++++=EXTRAWORD
June ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
those ^dt+dem+++=those
Timorese ^np+nom++??+=Timorese
who ^whp+rel+subj++=who
do ^vb+do+aux++=do
obtain ^vb++++=obtain
full ^jj++++=full-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
positions ^nns+nom+++=positions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
working ^jj+atrb++xvbg+=working
hours ^nns++++=hours
are ^vb+ber+vrb++=are
extensive ^jj+pred+++=extensive,
, ^zz++++=EXTRAWORD
with ^in++++=with
twelve ^cd++++=twelve-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
shifts ^vbz++++=shifts
and ^cc++++=and
no ^at++++=no
additional ^jj+atrb+++=additional
compensation ^nn+nom+++=compensation
for ^in++++=for
overtime ^nn++++=overtime,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
work ^nn++++=work
schedule ^nn++++=schedule
alternates ^nns+nom+++=alternates
weekly ^jj++++=weekly
between ^in++++=between
five ^cd++++=five
days ^nns++++=days
one ^cd1++++=one
week ^nn++++=week
and ^cc++++=and
two ^cd++++=two
days ^nns++++=days
the ^ati++++=the
following ^jj+atrb+++=following
week ^nn++++=week.
. ^zz++++=EXTRAWORD
