Capoeira ^np+++??+=Capoeira
is ^vbz+bez+vrb++=is
also ^rb++++=also
an ^at++++=an
embodied ^jj+atrb++xvbn+=embodied
social ^jj+atrb+++=social
practice ^nn++++=practice
that ^tht+rel+obj++=that
practitioners ^nns+nom+++=practitioners
adopt ^vb++++=adopt
as ^ql++++=as
they ^pp3a+pp3+++=they
develop ^vb++++=develop
the ^ati++++=the
habitus ^nn++++=habitus
referred ^vbd+++xvbn+=referred
to ^in++++=to
by ^in++++=by
Achilles ^np+++??+=Achilles
as ^in++++=as
" ^zz++++="the
the ^ati++++=EXTRAWORD
way ^nn++++=way
de ^&fw++++=de
capoeira ^nn+++??+=capoeira"
" ^zz++++=EXTRAWORD
through ^in++++=through
formal ^jj+atrb+++=formal
pedagogical ^jj+atrb+++=pedagogical
instruction ^nn+nom+++=instruction
( ^zz++++=(Achilles,
achilles ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
70 ^cd++++=70).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
