Data ^nns++++=Data
from ^in++++=from
the ^ati++++=the
Internet ^np+++??+=Internet
Steering ^vwbg+++xvbg+=Steering
Committee ^nn+nom+++=Committee
in ^in++++=in
Brazil ^np++++=Brazil
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b)
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
as ^in++++=as
of ^in"++++=of
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
64 ^cd++++=64%
% ^zz++++=EXTRAWORD
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
public ^nn++++=public
schools ^nns++++=schools
were ^vbd+bed+aux++=were
equipped ^vpsv++agls+xvbnx+=equipped
with ^in++++=with
computer ^nn+nom+++=computer
labs ^nns+++??+=labs
and ^cc++++=and
57 ^cd++++=57%
% ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
Internet ^np+++??+=Internet
access ^nn++++=access.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
these ^dt+dem+++=these
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
these ^dt+dem+++=these
resources ^nns++++=resources
was ^vbd+bedz+aux++=was
predominantly ^rb++splt++=predominantly
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
administrative ^jj+atrb+++=administrative
sectors ^nns++++=sectors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
significant ^jj+atrb+++=significant
number ^nn++++=number
of ^in++++=of
computer ^nn+nom+++=computer
labs ^nns+++??+=labs
were ^vbd+bed+vrb++=were
no ^at++++=no
longer ^rbr++++=longer
operational ^jj++++=operational
due ^jj++++=due
to ^in+jcmp+++=to
insufficient ^jj+atrb+++=insufficient
investment ^nn+nom+++=investment
in ^in++++=in
technical ^jj+atrb+++=technical
maintenance ^nn+nom+++=maintenance
and ^cc++++=and
qualified ^xvbn+++xvbn+=qualified
personnel ^nns++++=personnel.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
in ^in++++=in
over ^in++++=over
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
schools ^nns++++=schools
possessing ^vwbg+++xvbg+=possessing
such ^abl++++=such
infrastructure ^nn+++??+=infrastructure,
, ^zz++++=EXTRAWORD
students ^nns++++=students
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
available ^jj+atrb+++=available
devices ^nns++++=devices
and ^cc++++=and
Internet ^np+++??+=Internet
connectivity ^nn+nom+++=connectivity.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
34 ^cd++++=34%
% ^zz++++=EXTRAWORD
of ^in++++=of
public ^jj+atrb+++=public
schools ^nns++++=schools
managed ^vbd+++xvbn+=managed
to ^to+vcmp+++=to
update ^vbi++++=update
their ^pp$+pp3+++=their
equipment ^nn+nom+++=equipment
between ^in++++=between
2015 ^cd++++=2015
and ^cc++++=and
2018 ^cd++++=2018
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2018a ^cd++++=2018a,
, ^zz++++=EXTRAWORD
2018b ^cd++++=2018b,
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
largely ^rb++++=largely
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
receive ^vb++++=receive
consistent ^jj++++=consistent
funding ^jj+++xvbg+=funding
to ^to++++=to
maintain ^vbi+vpub+++=maintain
computer ^nn+nom+++=computer
labs ^nns++++=labs,
, ^zz++++=EXTRAWORD
mobile ^jj+atrb+++=mobile
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
internet ^np++++=Internet
services ^nns++++=services.
. ^zz++++=EXTRAWORD
