Luria ^np++++=Luria's
's ^$++++=EXTRAWORD
behavioral ^jj+atrb+++=behavioral
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
developed ^jj+++xvbn+=developed
to ^to++++=to
assess ^vbi++++=assess
neuropsychological ^jj+atrb+++=neuropsychological
factors ^nns++++=factors
in ^in++++=in
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
modified ^vpsv++agls+xvbn+=modified
for ^in++++=for
use ^nn++++=use
with ^in++++=with
children ^nns++++=children.
. ^zz++++=EXTRAWORD
