As ^in++++=As
demonstrated ^nn++++=demonstrated
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
archiving ^xvbg+++xvbg+=archiving
constitutes ^vbz++++=constitutes
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
aspect ^nn++++=aspect
of ^in++++=of
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation.
. ^zz++++=EXTRAWORD
Reliable ^jj++++=Reliable
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
preservation ^nn+nom+++=preservation
and ^cc++++=and
accessibility ^nn+nom+++=accessibility
of ^in++++=of
documentary ^jj+atrb+++=documentary
materials ^nns+nom+++=materials
are ^vb+ber+vrb++=are
achievable ^jj+pred+++=achievable
only ^rb+down+++=only
through ^in++++=through
archiving ^xvbg+++xvbg+=archiving,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
well ^rb++++=well-maintained
- ^zz++++=EXTRAWORD
maintained ^vprf+++xvbn+=EXTRAWORD
digital ^jj+atrb+++=digital
repositories ^nns++++=repositories
with ^in++++=with
sufficient ^jj+atrb+++=sufficient
infrastructure ^nn+++??+=infrastructure
and ^cc++++=and
institutional ^jj+atrb+++=institutional
commitment ^nn+nom+++=commitment.
. ^zz++++=EXTRAWORD
In ^in++++=In
recent ^jj+atrb+++=recent
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
notable ^jj+atrb+++=notable
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
and ^cc++++=and
robustness ^nns+nom+++=robustness
of ^in++++=of
documentation ^nn+nom+++=documentation
projects ^nns++++=projects
and ^cc++++=and
archival ^jj+atrb+++=archival
collections ^nns+nom+++=collections,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
by ^in++++=by
the ^ati++++=the
Paresi ^np+++??+=Paresi
and ^cc++++=and
Enawene ^np+++??+=Enawene
Nawe ^np+++??+=Nawe
