Eleven ^cd++++=Eleven
questions ^nns+nom+++=questions
were ^vbd+bed+aux++=were
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
collect ^vbi++++=collect
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
authors ^nns++++=authors
social ^jj++++=social,
, ^zz++++=EXTRAWORD
academic ^jj++++=academic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scientific ^jj+atrb+++=scientific
backgrounds ^nns++++=backgrounds,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
their ^pp$+pp3+++=their
perspectives ^nns++++=perspectives
on ^in++++=on
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
various ^jj+atrb+++=various
contextual ^nn+nom+++=contextual
factors ^nns++++=factors
in ^in++++=in
the ^ati++++=the
publication ^nn+nom+++=publication
process ^nns+nom+++=process
of ^in++++=of
high ^jj++++=high-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
thirty ^cd++++=thirty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
authors ^nns++++=authors
participated ^vbd+++xvbn+=participated
in ^in++++=in
this ^dt+dem+++=this
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
29.92 ^cd++++=29.92%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
invited ^jj+atrb++xvbn+=invited
experts ^nns++++=experts,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
exceeds ^vbz++++=exceeds
the ^ati++++=the
minimum ^jj+atrb+++=minimum
threshold ^nn++++=threshold
of ^in++++=of
10 ^cd++++=10
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
considered ^vbd+vprv++xvbn+=considered
sufficient ^jj++++=sufficient
for ^in++++=for
a ^at++++=a
reliable ^jj+atrb+++=reliable
data ^nns++++=data
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
as ^in++++=as
established ^nn++++=established
by ^in++++=by
oliveira ^np++++=Oliveira
and ^cc++++=and
gr ^np++++=Gr
cio ^nn++++=cio
( ^zz++++=(2005).
2005 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
