Interviews ^nns++++=Interviews
with ^in++++=with
football ^nn++++=football
club ^nn++++=club
organizers ^nns+nom+++=organizers
and ^cc++++=and
managers ^nns+nom+++=managers
provided ^vbd+++xvbn+=provided
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
organization ^nn+nom+++=organization
required ^vbd+++xvbn+=required
for ^in++++=for
club ^nn++++=club
operations ^nns+nom+++=operations.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
individuals ^nns+nom+++=individuals
in ^in++++=in
leadership ^nn+nom+++=leadership
positions ^nns+nom+++=positions
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
level ^nn++++=level
of ^in++++=of
English ^jj+atrb+++=English
proficiency ^nn++++=proficiency
and ^cc++++=and
possessed ^jj+atrb++xvbn+=possessed
substantial ^jj+atrb+++=substantial
knowledge ^nn++++=knowledge
of ^in++++=of
Uk ^np++++=UK
practices ^nns++++=practices
related ^vbd+++xvbn+=related
to ^to++++=to
fundraising ^vbg+++xvbg+=fundraising,
, ^zz++++=EXTRAWORD
scheduling ^nn+nom+++=scheduling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
organization ^nn+nom+++=organization
of ^in++++=of
sports ^nns++++=sports
events ^nns++++=events
in ^in++++=in
Northern ^np++++=Northern
Ireland ^np++++=Ireland.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
responsibilities ^nns+nom+++=responsibilities
included ^vbd+++xvbn+=included
securing ^jj+++xvbg+=securing
funding ^jj+++xvbg+=funding
for ^in++++=for
both ^abx++++=both
the ^ati++++=the
team ^nn++++=team
and ^cc++++=and
tournaments ^nns+nom+++=tournaments,
, ^zz++++=EXTRAWORD
booking ^nn++++=booking
pitches ^nns+++??+=pitches,
, ^zz++++=EXTRAWORD
hiring ^jj+atrb++xvbg+=hiring
Irish ^jj+atrb+++=Irish
referees ^nns+nom+++=referees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arranging ^jj+atrb++xvbg+=arranging
local ^jj+atrb+++=local
sponsorship ^nn+nom+++=sponsorship.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
local ^jj+atrb+++=local
law ^nn++++=law
firm ^nn++++=firm
sponsored ^vbd+++xvbn+=sponsored
Ramkabian ^np+++??+=Ramkabian,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
taxi ^nn++++=taxi
company ^nn++++=company
in ^in++++=in
Cookstown ^np+++??+=Cookstown
sponsored ^vbd+++xvbn+=sponsored
Fitun ^np+++??+=Fitun
Unidade ^np+++??+=Unidade.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
sponsorships ^nns+nom+++=sponsorships
supported ^vbd+++xvbn+=supported
the ^ati++++=the
purchase ^nn++++=purchase
of ^in++++=of
football ^nn++++=football
shirts ^nns++++=shirts
and ^cc++++=and
jackets ^nns++++=jackets
for ^in++++=for
players ^nns+nom+++=players,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
medals ^nns++++=medals
and ^cc++++=and
trophies ^nns+++??+=trophies
for ^in++++=for
tournaments ^nns+nom+++=tournaments.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
two ^cd++++=two
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
Lao ^np++++=Lao
Rai ^np+++??+=Rai
club ^nn++++=club
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
played ^vprf+++xvbnx+=played
for ^in++++=for
the ^ati++++=the
national ^jj+atrb+++=national
team ^nn++++=team
of ^in++++=of
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
prior ^jj++++=prior
to ^in++++=to
migrating ^jj++++=migrating
to ^in++++=to
Northern ^np++++=Northern
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
contributing ^vbg+++xvbg+=contributing
professional ^jj+atrb+++=professional
experience ^nn+nom+++=experience
to ^in++++=to
the ^ati++++=the
club ^nn++++=club
s ^zz++++=s
organizational ^jj+atrb+++=organizational
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
