At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
period ^nn++++=period
when ^wrb+who+++=when
plant ^nn++++=plant
classification ^nn+nom+++=classification
systems ^nns++++=systems
were ^vbd+bed+aux++=were
primarily ^rb+down+splt++=primarily
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
morphological ^jj+atrb+++=morphological
data ^nns++++=data,
, ^zz++++=EXTRAWORD
Dennstaedtiaceae ^np+++??+=Dennstaedtiaceae
was ^vbd+bedz+aux++=was
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
large ^jj+atrb+++=large
family ^nn++++=family
comprising ^vwbg+++xvbg+=comprising
three ^cd++++=three
subfamilies ^nns+++??+=subfamilies
( ^zz++++=(or
or ^cc++++=EXTRAWORD
tribes ^nns++++=tribes)
) ^zz++++=EXTRAWORD
and ^cc++++=and
approximately ^rb+down+++=approximately
17 ^cd++++=17
genera ^nns++++=genera
( ^zz++++=(Tryon
tryon ^np++++=EXTRAWORD
& ^zz++++=&
Tryon ^np+++??+=Tryon
1982 ^cd+date+++=1982;
; ^zz++++=EXTRAWORD
Kramer ^np+++??+=Kramer
1990 ^cd+date+++=1990).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
introduction ^nn+nom+++=introduction
of ^in++++=of
molecular ^jj+atrb+++=molecular
data ^nns++++=data,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
subfamilies ^nns+++??+=subfamilies
were ^vbd+bed+aux++=were
elevated ^vpsv++agls+xvbnx+=elevated
to ^in++++=to
family ^nn++++=family
rank ^nn++++=rank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
additional ^jj+atrb+++=additional
families ^nns++++=families
were ^vbd+bed+aux++=were
established ^vpsv++agls+xvbnx+=established.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
early ^jj++++=early-diverging
- ^zz++++=EXTRAWORD
diverging ^jj+atrb++xvbg+=EXTRAWORD
leptosporangiate ^nn+nom+++=leptosporangiate
ferns ^nns+++??+=ferns
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
into ^in++++=into
Cystodiaceae ^np+++??+=Cystodiaceae
( ^zz++++=(one
one ^cd1++++=EXTRAWORD
genus ^nns+++??+=genus),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dennstaedtiaceae ^np+++??+=Dennstaedtiaceae
in ^in++++=in
a ^at++++=a
more ^rbr++++=more
restricted ^jj+atrb++xvbn+=restricted
sense ^nn++++=sense
( ^zz++++=(11
11 ^cd++++=EXTRAWORD
12 ^cd++++=12
genera ^nns++++=genera),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lindsaeaceae ^np+++??+=Lindsaeaceae
( ^zz++++=(seven
seven ^cd++++=EXTRAWORD
genera ^nns++++=genera),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lonchitidaceae ^np+++??+=Lonchitidaceae
( ^zz++++=(one
one ^cd1++++=EXTRAWORD
genus ^nns+++??+=genus),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Saccolomataceae ^np+++??+=Saccolomataceae
( ^zz++++=(one
one ^cd1++++=EXTRAWORD
or ^cc++++=or
two ^cd++++=two
genera ^nns++++=genera),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^rbr++++=more
extensive ^jj+atrb+++=extensive
Pteridaceae ^np+++??+=Pteridaceae
( ^zz++++=(over
over ^in++++=EXTRAWORD
50 ^cd++++=50
genera ^nns++++=genera)
) ^zz++++=EXTRAWORD
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
Ppg ^np+++??+=PPG
I ^pp1a+pp1+++=I
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Shang ^np++++=Shang
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
schwartsburd ^np++++=Schwartsburd
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
