( ^zz++++=(iii)
iii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
challenges ^vbz++++=challenges
and ^cc++++=and
limitations ^nns+nom+++=limitations
encountered ^vwbn+++xvbn+=encountered
by ^in++++=by
Brazilian ^jj+atrb+++=Brazilian
computer ^nn+nom+++=computer
scientists ^nns+nom+++=scientists
in ^in+cmpx+++=in
the ^in"++++=the
process ^in"++++=process
of ^in"++++=of
producing ^xvbg+++xvbg+=producing
and ^cc++++=and
publishing ^xvbg+++xvbg+=publishing
research ^nn++++=research
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
strategies ^nns++++=strategies
they ^pp3a+pp3+++=they
employ ^vb++++=employ
to ^in++++=to
address ^nns+nom+++=address
these ^dt+dem+++=these
issues ^nns++++=issues;
; ^zz++++=EXTRAWORD
