Regarding ^in++++=Regarding
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT),
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
many ^ap++++=many
individuals ^nns+nom+++=individuals
use ^nn++++=use
cell ^nn++++=cell
phones ^nns++++=phones
on ^in++++=on
a ^at++++=a
daily ^jj+atrb+++=daily
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
a ^at++++=a
significant ^jj+atrb+++=significant
proportion ^nn+nom+++=proportion
are ^vb+ber+vrb++=are
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
perform ^vbi++++=perform
basic ^jj+atrb+++=basic
tasks ^nns++++=tasks
such ^abl++++=such
as ^ql++++=as
accessing ^jj+++xvbg+=accessing
their ^pp$+pp3+++=their
email ^nn+++??+=email
on ^in++++=on
a ^at++++=a
computer ^nn+nom+++=computer.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
often ^rb++++=often
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
of ^in++++=of
fundamental ^jj+atrb+++=fundamental
concepts ^nns++++=concepts
such ^abl++++=such
as ^ql++++=as
browsers ^nns+nom+++=browsers,
, ^zz++++=EXTRAWORD
websites ^nns++++=websites,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
email ^nn+++??+=email
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
uncertainty ^nn++++=uncertainty
about ^in++++=about
login ^nn+++??+=login
credentials ^nns+nom+++=credentials.
. ^zz++++=EXTRAWORD
On ^in++++=On
mobile ^jj+atrb+++=mobile
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
functions ^nns+nom+++=functions
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
accessed ^vpsv++agls+xvbnx+=accessed
through ^in++++=through
applications ^nns+nom+++=applications
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
already ^rb++splt++=already
installed ^vpsv++agls+xvbnx+=installed
and ^cc+phrs+++=and
require ^vb+vsua+++=require
minimal ^jj+atrb+++=minimal
technical ^jj+atrb+++=technical
knowledge ^nn++++=knowledge
for ^in++++=for
routine ^jj+atrb+++=routine
use ^nn++++=use.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
familiarity ^nn+nom+++=familiarity
with ^in++++=with
everyday ^jjb+atrb+++=everyday
use ^nn++++=use
does ^vbz+doz+aux++=does
not ^xnot++not++=not
equate ^vb++++=equate
to ^in++++=to
proficiency ^nn++++=proficiency
or ^cc++++=or
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
utilize ^vbi++++=utilize
these ^dt+dem+++=these
tools ^nns++++=tools
effectively ^rb++++=effectively
in ^in++++=in
more ^rbr++++=more
complex ^jj+atrb+++=complex
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
professional ^jj+atrb+++=professional
or ^cc+phrs+++=or
academic ^jj+atrb+++=academic
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
may ^md+pos+++=may
demand ^vb++++=demand
a ^at++++=a
higher ^jjr+atrb+++=higher
level ^nn++++=level
of ^in++++=of
digital ^jj+atrb+++=digital
literacy ^nn+nom+++=literacy
( ^zz++++=(Souza
souza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
peixoto ^np++++=Peixoto,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
