Although ^cs+con+++=Although
not ^xnot++not++=not
previously ^rb+tm+++=previously
reported ^vbd+vpub++xvbn+=reported
for ^in++++=for
liana ^nn+++??+=liana
species ^nns++++=species,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
demonstrate ^nn+nom+++=demonstrate
that ^tht+vcmp+++=that
dehydration ^nn+nom+++=dehydration
significantly ^rb++++=significantly
alters ^vbz++++=alters
the ^ati++++=the
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
of ^in++++=of
both ^abx++++=both
stems ^nns++++=stems
and ^cc++++=and
leaves ^nns++++=leaves
in ^in++++=in
the ^ati++++=the
widespread ^jj+atrb+++=widespread
liana ^nn+++??+=liana
Amphilophium ^np+++??+=Amphilophium
curcigerum ^nn+++??+=curcigerum
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
L.g.lohmann ^np+++??+=L.G.Lohmann
( ^zz++++=(Bignoniaceae),
bignoniaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
increasing ^jj+atrb++xvbg+=increasing
stem ^nn++++=stem
bending ^vwbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness
and ^cc++++=and
leaf ^nn++++=leaf
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
observed ^jj+atrb++xvbn+=observed
increase ^nn++++=increase
in ^in++++=in
bending ^xvbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness
renders ^nns+nom+++=renders
liana ^jj+atrb++??+=liana
stems ^nns++++=stems
more ^rbr++++=more
susceptible ^jj++++=susceptible
to ^in++++=to
rupture ^nn++++=rupture
by ^in++++=by
reducing ^xvbg+++xvbg+=reducing
their ^pp$+pp3+++=their
capacity ^nn+nom+++=capacity
for ^in++++=for
flexion ^nn++++=flexion
and ^cc++++=and
torsion ^nn++++=torsion.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
maintaining ^vbg+++xvbg+=maintaining
sample ^nn++++=sample
moisture ^nn++++=moisture
following ^vwbg+++xvbg+=following
field ^nn++++=field
collection ^nn+nom+++=collection
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
obtaining ^xvbg+++xvbg+=obtaining
accurate ^jj+atrb+++=accurate
estimates ^nns+nom+++=estimates
of ^in++++=of
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^vpsv++agls+xvbn+=discussed
below ^rb++++=below.
. ^zz++++=EXTRAWORD
