The ^ati++++=The
term ^nn++++=term
' ^zz++++='dialogic'
dialogic ^jj++++=EXTRAWORD
' ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
used ^vpsv++++=used
to ^to++++=to
characterize ^vb++++=characterize
utterances ^nns+nom+++=utterances
in ^in++++=in
which ^whp+rel+pied++=which
participants ^nns+nom+++=participants
contribute ^vb++++=contribute
meaningfully ^jj++++=meaningfully
to ^in++++=to
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
ideas ^nns++++=ideas
by ^in++++=by
critically ^rb++++=critically
considering ^vbg+++xvbg+=considering
and ^cc++++=and
incorporating ^vbg+++xvbg+=incorporating
the ^ati++++=the
perspectives ^nns++++=perspectives
of ^in++++=of
others ^aps++++=others
in ^in++++=in
the ^ati++++=the
collective ^jj+atrb+++=collective
construction ^nn+nom+++=construction
of ^in++++=of
knowledge ^nn++++=knowledge
( ^zz++++=(Kershner,
kershner ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dowdall ^np+++??+=Dowdall,
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Mercer ^np++++=Mercer,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
line ^in"++++=line
with ^in"++++=with
the ^ati++++=the
research ^nn++++=research
objectives ^nns++++=objectives,
, ^zz++++=EXTRAWORD
engagement ^nn+nom+++=engagement
in ^in++++=in
dialogic ^jj+atrb+++=dialogic
talk ^nn++++=talk
was ^vbd+bedz+aux++=was
operationalized ^vpsv++agls+xvbnx+=operationalized
as ^ql++++=as
the ^ati++++=the
relatively ^rb++++=relatively
frequent ^jj+atrb+++=frequent
occurrence ^nn+nom+++=occurrence
of ^in++++=of
three ^cd++++=three
specific ^jj+atrb+++=specific
dialogic ^nn++++=dialogic
codes ^nns++++=codes.
. ^zz++++=EXTRAWORD
