Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
considerations ^nns+nom+++=considerations,
, ^zz++++=EXTRAWORD
a ^at++++=a
manual ^jj+atrb+++=manual
and ^cc+phrs+++=and
systematic ^jj+atrb+++=systematic
revision ^nn++++=revision
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted.
. ^zz++++=EXTRAWORD
Initially ^rb+cnj+++=Initially,
, ^zz++++=EXTRAWORD
journals ^nns+nom+++=journals
indexed ^vwbn+++xvbn+=indexed
exclusively ^rb++++=exclusively
in ^in++++=in
either ^dtx++++=either
Scielo ^np+++??+=SciELO
or ^cc++++=or
Redalyc ^np+++??+=Redalyc
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
metadata ^nn+++??+=metadata
including ^in++++=including
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
editorials ^nns+nom+++=editorials
were ^vbd+bed+aux++=were
aggregated ^vpsv++agls+xvbnx+=aggregated,
, ^zz++++=EXTRAWORD
encompassing ^jj+++xvbg+=encompassing
both ^abx++++=both
currently ^rb++++=currently
active ^jj+atrb+++=active
journals ^nns+nom+++=journals
and ^cc++++=and
documents ^nns+nom+++=documents
from ^in++++=from
earlier ^jjr+atrb+++=earlier
periods ^nns++++=periods
that ^tht+rel+subj++=that
filled ^xvbn+++xvbn+=filled
gaps ^nns++++=gaps
in ^in++++=in
coverage ^nn+nom+++=coverage.
. ^zz++++=EXTRAWORD
For ^in++++=For
journals ^nns+nom+++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
both ^abx++++=both
platforms ^nns++++=platforms,
, ^zz++++=EXTRAWORD
discrepancies ^nns++++=discrepancies
in ^in++++=in
coverage ^nn+nom+++=coverage
periods ^nns++++=periods
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
platform ^nn++++=platform
sometimes ^rb++++=sometimes
indexing ^jj+atrb++xvbg+=indexing
different ^jj+atrb+++=different
time ^nn++++=time
spans ^nns++++=spans
for ^in++++=for
the ^ati++++=the
same ^ap++++=same
journal ^nn++++=journal.
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nns+nom+++=address
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
consistency ^nn++++=consistency
and ^cc++++=and
completeness ^nns+nom+++=completeness
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
each ^dt++++=each
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
version ^nn++++=version
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
extensive ^jj+atrb+++=extensive
temporal ^jj+atrb+++=temporal
coverage ^nn+nom+++=coverage
and ^cc++++=and
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
documents ^nns+nom+++=documents
was ^vbd+bedz+aux++=was
retained ^vpsv++agls+xvbnx+=retained.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
this ^dt+dem+++=this
phase ^nn++++=phase
of ^in++++=of
the ^ati++++=the
project ^nn++++=project
focused ^vbd+++xvbn+=focused
exclusively ^rb++++=exclusively
on ^in++++=on
journals ^nns+nom+++=journals
published ^vbd+++xvbn+=published
in ^in++++=in
latin ^jj+atrb+++=Latin
america ^np++++=America
and ^cc++++=and
the ^ati++++=the
caribbean ^np+nom+++=Caribbean.
. ^zz++++=EXTRAWORD
