Communicative ^np+++??+=Communicative
executions ^nns+nom+++=executions
refer ^vb++++=refer
to ^in++++=to
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
perform ^vbi++++=perform
actions ^nns+nom+++=actions
following ^vwbg+++xvbg+=following
verbal ^jj+atrb+++=verbal
instructions ^nns+nom+++=instructions,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
language ^nn+nom+++=language
serves ^vbz++++=serves
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
means ^nn++++=means
of ^in++++=of
directing ^xvbg+++xvbg+=directing
motor ^nn++++=motor
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
receive ^vb++++=receive
spoken ^jj+atrb++xvbn+=spoken
directions ^nns+nom+++=directions
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
carry ^vb++++=carry
out ^rp+pl+++=out
the ^ati++++=the
specified ^jj+atrb++xvbn+=specified
actions ^nns+nom+++=actions,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
language ^nn+nom+++=language
in ^in++++=in
guiding ^xvbg+++xvbg+=guiding
and ^cc++++=and
organizing ^xvbg+++xvbg+=organizing
motor ^nn++++=motor
execution ^nn+nom+++=execution
prior ^rb++++=prior
to ^to++++=to
the ^ati++++=the
initiation ^nn+nom+++=initiation
of ^in++++=of
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
