Gestures ^nns++++=Gestures
and ^cc++++=and
praxis ^nns+++??+=praxis
( ^zz++++=(t
t ^zz++++=EXTRAWORD
= ^zz++++==
6.229 ^cd++++=6.229,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.000 ^nn+++??+=0.000),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
phonemic ^jj++++=phonemic
hearing ^jj+++xvbg+=hearing
( ^zz++++=(t
t ^zz++++=EXTRAWORD
= ^zz++++==
7.974 ^cd++++=7.974,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.000 ^nn+++??+=0.000),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
picture ^nn++++=picture
vocabulary ^nn+nom+++=vocabulary
( ^zz++++=(t
t ^zz++++=EXTRAWORD
= ^zz++++==
8.187 ^cd++++=8.187,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.000 ^nn+++??+=0.000),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
color ^nn++++=color
naming ^vwbg+++xvbg+=naming
( ^zz++++=(t
t ^zz++++=EXTRAWORD
= ^zz++++==
3.228 ^cd++++=3.228,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.003 ^nn+++??+=0.003)
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
significant ^jj+atrb+++=significant
predictors ^nns++++=predictors
of ^in++++=of
the ^ati++++=the
variability ^nn+nom+++=variability
in ^in++++=in
intellectual ^jj+atrb+++=intellectual
performance ^nn+nom+++=performance
among ^in++++=among
children ^nns++++=children
from ^in++++=from
Cienfuegos ^np+++??+=Cienfuegos
province ^nn++++=province,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
predictive ^jj+atrb+++=predictive
strength ^nn++++=strength
of ^in++++=of
these ^dt+dem+++=these
variables ^nns++++=variables
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
0.217 ^nn+++??+=0.217
to ^in++++=to
0.660 ^nn+++??+=0.660
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
neuropsychological ^jj+atrb+++=neuropsychological
tests ^nns++++=tests
did ^vbd+dod+aux++=did
not ^xnot++not++=not
significantly ^rb++++=significantly
predict ^vb+vpub+++=predict
the ^ati++++=the
variability ^nn+nom+++=variability
in ^in++++=in
intellectual ^jj+atrb+++=intellectual
performance ^nn+nom+++=performance
among ^in++++=among
children ^nns++++=children
from ^in++++=from
sancti ^np++++=Sancti
sp ^&fo++++=Sp
ritus ^nns++++=ritus.
. ^zz++++=EXTRAWORD
