There ^ex+pex+++=There
are ^vb+ber+vrb++=are
notable ^jj+atrb+++=notable
asymmetries ^nns++++=asymmetries
in ^in++++=in
the ^ati++++=the
patterns ^nns++++=patterns
of ^in++++=of
collaboration ^nn+nom+++=collaboration
among ^in++++=among
authors ^nns++++=authors
from ^in++++=from
different ^jj+atrb+++=different
states ^nns++++=states.
. ^zz++++=EXTRAWORD
An ^at++++=An
analysis ^nn++++=analysis
of ^in++++=of
co ^nn++++=co-authorship
- ^zz++++=EXTRAWORD
authorship ^nn+nom+++=EXTRAWORD
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
focusing ^jj+++xvbg+=focusing
on ^in++++=on
the ^ati++++=the
top ^jjb+atrb+++=top
five ^cd++++=five
collaborating ^jj+atrb+++=collaborating
states ^nns++++=states
for ^in++++=for
authors ^nns++++=authors
from ^in++++=from
each ^dt++++=each
state ^nn++++=state,
, ^zz++++=EXTRAWORD
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
is ^vbz+bez+vrb++=is
a ^at++++=a
leading ^jj+atrb++xvbg+=leading
collaborator ^nn++++=collaborator
in ^in++++=in
26 ^cd++++=26
instances ^nns+nom+++=instances,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
in ^in++++=in
25 ^cd++++=25,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
in ^in++++=in
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
in ^in++++=in
14 ^cd++++=14,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Paran ^np+++??+=Paran
in ^in++++=in
12 ^cd++++=12.
. ^zz++++=EXTRAWORD
Pernambuco ^np+++??+=Pernambuco
and ^cc++++=and
Bras ^np+++??+=Bras
lia ^nn+++??+=lia
follow ^vb+vprv+++=follow
with ^in++++=with
7 ^zz++++=7
and ^cc++++=and
5 ^zz++++=5
instances ^nns+nom+++=instances,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven
states ^vbz+vpub+++=states
do ^vb+do+aux++=do
not ^xnot++not++=not
appear ^vb+seem+++=appear
among ^in++++=among
the ^ati++++=the
top ^jjb+atrb+++=top
five ^cd++++=five
collaborative ^jj+atrb+++=collaborative
partners ^nns+nom+++=partners
for ^in++++=for
any ^dti++++=any
other ^ap++++=other
state ^nn++++=state.
. ^zz++++=EXTRAWORD
