These ^dt+dem+++=These
rituals ^nns+nom+++=rituals
can ^md+pos+++=can
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
candombl ^nn+++??+=candombl
; ^zz++++=;
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
many ^ap++++=many
capoeiristas ^nns+++??+=capoeiristas
perceive ^vb+vprv+++=perceive
them ^pp3o+pp3+++=them
more ^rbr++++=more
generally ^rb+down+++=generally
as ^ql++++=as
expressions ^nns++++=expressions
of ^in++++=of
recognition ^nn+nom+++=recognition
for ^in++++=for
the ^ati++++=the
authority ^nn+nom+++=authority
of ^in++++=of
the ^ati++++=the
roda ^nn+++??+=roda
leader ^nn++++=leader
and ^cc++++=and
as ^ql++++=as
demonstrations ^nns+nom+++=demonstrations
of ^in++++=of
mutual ^jj+atrb+++=mutual
respect ^nn++++=respect
among ^in++++=among
participants ^nns+nom+++=participants.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Tiago ^np+++??+=Tiago,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
gestures ^nns++++=gestures
exemplify ^vb++++=exemplify
the ^ati++++=the
values ^nns++++=values
of ^in++++=of
respect ^nn++++=respect
and ^cc++++=and
non ^&fw++++=non-competitiveness
- ^zz++++=EXTRAWORD
competitiveness ^nns+nom+++=EXTRAWORD
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
central ^jj+pred+++=central
to ^in++++=to
capoeira ^nn++++=capoeira.
. ^zz++++=EXTRAWORD
