Long ^jj++++=Long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing
is ^vbz+bez+aux++=is
performed ^vpsv++agls+xvbnx+=performed
prior ^jj++++=prior
to ^in++++=to
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
less ^rbr++splt++=less
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
genomic ^nn++++=genomic
repeats ^vbz+vpub+++=repeats.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
a ^at++++=a
repeat ^nn++++=repeat
refers ^vbz++++=refers
to ^in++++=to
a ^at++++=a
sequence ^nn+nom+++=sequence
that ^tht+rel+obj++=that
causes ^nns++++=causes
reads ^vbz++++=reads
to ^in++++=to
align ^nn+++??+=align
to ^in++++=to
multiple ^nn++++=multiple
or ^cc++++=or
incorrect ^jj+atrb+++=incorrect
locations ^nns+nom+++=locations
within ^in++++=within
the ^ati++++=the
genome ^nn+++??+=genome.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
certain ^jj++++=certain
150 ^cd++++=150-bp
- ^zz++++=EXTRAWORD
bp ^nn+++??+=EXTRAWORD
short ^jj++++=short
reads ^vbz++++=reads
may ^md+pos+++=may
be ^vb+be+aux++=be
entirely ^rb+amp+splt++=entirely
contained ^vpsv++agls+xvbnx+=contained
within ^in++++=within
the ^ati++++=the
rrna ^nn+++??+=rRNA
operon ^nn+++??+=operon,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
their ^pp$+pp3+++=their
alignment ^nn+nom+++=alignment
to ^in++++=to
multiple ^jj+atrb+++=multiple
genomic ^jj+atrb+++=genomic
positions ^nns+nom+++=positions
and ^cc++++=and
classifying ^vbg+++xvbg+=classifying
the ^ati++++=the
operon ^nn+++??+=operon
as ^ql++++=as
a ^at++++=a
repeat ^nn++++=repeat,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
hinder ^vb++++=hinder
the ^ati++++=the
ability ^nn+nom+++=ability
of ^in++++=of
polishing ^xvbg+++xvbg+=polishing
tools ^nns++++=tools
to ^in++++=to
accurately ^rb++++=accurately
correct ^jj+atrb+++=correct
errors ^nns++++=errors.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
20 ^cd++++=20
kbp ^nn+++??+=kbp
long ^rb++++=long
reads ^nns++++=reads
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
spanning ^xvbg+++xvbg+=spanning
the ^ati++++=the
entire ^jjb+atrb+++=entire
rrna ^nn+++??+=rRNA
operon ^nn+++??+=operon,
, ^zz++++=EXTRAWORD
allowing ^jj+++xvbg+=allowing
them ^pp3o+pp3+++=them
to ^in++++=to
align ^nn+++??+=align
uniquely ^rb++++=uniquely
to ^in++++=to
the ^ati++++=the
genome ^nn+++??+=genome.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
the ^ati++++=the
operon ^nn+++??+=operon
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
function ^nn+nom+++=function
as ^ql++++=as
a ^at++++=a
repeat ^nn++++=repeat
for ^in++++=for
long ^rb++++=long
reads ^vbz++++=reads,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enabling ^vbg+nom++xvbg+=enabling
polishing ^nvbg+++xvbg+=polishing
corrections ^nns+nom+++=corrections
to ^to++++=to
be ^vbi+vbi+aux++=be
applied ^vpsv++agls+xvbnx+=applied
accurately ^rb++++=accurately
to ^in++++=to
the ^ati++++=the
appropriate ^jj+atrb+++=appropriate
instances ^nns+nom+++=instances
of ^in++++=of
the ^ati++++=the
operon ^nn++++=operon.
. ^zz++++=EXTRAWORD
