It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
that ^tht+vcmp+++=that
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
of ^in++++=of
urban ^jj+atrb+++=urban
schools ^nns++++=schools
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
computer ^nn+nom+++=computer
available ^jj++++=available
for ^in++++=for
student ^nn++++=student
use ^nn++++=use
in ^in++++=in
any ^dti++++=any
capacity ^nn+nom+++=capacity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
14 ^cd++++=14%
% ^zz++++=EXTRAWORD
of ^in++++=of
public ^jj+atrb+++=public
schools ^nns++++=schools
utilize ^vb++++=utilize
a ^at++++=a
virtual ^jj++++=virtual
teaching ^jj+++xvbg+=teaching-learning
- ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=EXTRAWORD
environment ^nn+nom+++=environment,
, ^zz++++=EXTRAWORD
even ^rb++++=even
on ^in++++=on
an ^at++++=an
infrequent ^jj+atrb+++=infrequent
basis ^nn++++=basis.
. ^zz++++=EXTRAWORD
In ^in++++=In
rural ^jj+atrb+++=rural
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
only ^rb+down+++=only
one ^cd1++++=one
computer ^nn+nom+++=computer
available ^jj++++=available,
, ^zz++++=EXTRAWORD
52 ^cd++++=52%
% ^zz++++=EXTRAWORD
of ^in++++=of
teachers ^nns+nom+++=teachers
report ^vb++++=report
using ^vbg+++xvbg+=using
cell ^nn++++=cell
phones ^nns++++=phones
for ^in++++=for
instructional ^jj+atrb+++=instructional
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
65 ^cd++++=65%
% ^zz++++=EXTRAWORD
of ^in++++=of
administrators ^nns++++=administrators
rely ^vb++++=rely
on ^in++++=on
personal ^jj+atrb+++=personal
cell ^nn++++=cell
phones ^nns++++=phones
for ^in++++=for
administrative ^jj+atrb+++=administrative
tasks ^nns++++=tasks.
. ^zz++++=EXTRAWORD
