Pair ^nn++++=Pair
practice ^nn++++=practice
typically ^rb++++=typically
follows ^vbz+vprv+++=follows
individual ^jj+atrb+++=individual
movement ^nn+nom+++=movement
exercises ^nns++++=exercises
and ^cc++++=and
serves ^vbz++++=serves
as ^in++++=as
an ^at++++=an
intermediate ^jj+atrb+++=intermediate
stage ^nn++++=stage
between ^in++++=between
solo ^jjb+atrb+++=solo
practice ^nn++++=practice
and ^cc++++=and
participation ^nn+nom+++=participation
in ^in++++=in
the ^ati++++=the
actual ^jj+atrb+++=actual
game ^nn++++=game
within ^in++++=within
the ^ati++++=the
roda ^nn+++??+=roda.
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
the ^ati++++=the
real ^jj+atrb+++=real
game ^nn++++=game,
, ^zz++++=EXTRAWORD
pair ^nn++++=pair
practice ^nn++++=practice
provides ^vbz+vsua+++=provides
an ^at++++=an
opportunity ^nn+nom+++=opportunity
for ^in++++=for
students ^nns++++=students
to ^to++++=to
learn ^vbi+vprv+++=learn
and ^cc+phrs+++=and
refine ^vb++++=refine
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
for ^in+ppvb+++=for
discussion ^nn++++=discussion
and ^cc++++=and
feedback ^nn+++??+=feedback
between ^in++++=between
partners ^nns+nom+++=partners.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
exercises ^nns++++=exercises
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
synchronized ^vpsv++agls+xvbnx+=synchronized
and ^cc+phrs+++=and
performed ^vbd+++xvbn+=performed
at ^rb++++=at
close ^jj+atrb+++=close
range ^nn++++=range,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
coordination ^nn+nom+++=coordination
and ^cc++++=and
communication ^nn+nom+++=communication
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
effective ^jj+atrb+++=effective
execution ^nn+nom+++=execution
of ^in++++=of
the ^ati++++=the
sequences ^nns+nom+++=sequences.
. ^zz++++=EXTRAWORD
Students ^nns++++=Students
employ ^vb++++=employ
both ^abx++++=both
spoken ^jj+atrb++xvbn+=spoken
language ^nn+nom+++=language
and ^cc++++=and
body ^nn++++=body
movements ^nns+nom+++=movements
to ^to++++=to
communicate ^nn+nom+++=communicate,
, ^zz++++=EXTRAWORD
a ^at++++=a
process ^nns+nom+++=process
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
translanguaging ^nvbg+++xvbg+=translanguaging.
. ^zz++++=EXTRAWORD
Verbal ^jj+atrb+++=Verbal
communication ^nn+nom+++=communication
tends ^vbz++++=tends
to ^to+vcmp+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
prominent ^jj+pred+++=prominent
when ^wrb+who+++=when
beginners ^nns+nom+++=beginners
are ^vb+ber+aux++=are
involved ^vpsv++agls+xvbnx+=involved,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
advanced ^jj+atrb++xvbn+=advanced
students ^nns++++=students,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Tiago ^np+++??+=Tiago
and ^cc++++=and
his ^pp$+pp3+++=his
peers ^nns++++=peers,
, ^zz++++=EXTRAWORD
often ^rb++++=often
conduct ^nn++++=conduct
pair ^nn++++=pair
practice ^nn++++=practice
with ^in++++=with
minimal ^jj++++=minimal
or ^cc++++=or
no ^at++++=no
spoken ^vprf+++xvbn+=spoken
interaction ^nn+nom+++=interaction.
. ^zz++++=EXTRAWORD
