Certain ^jj+atrb+++=Certain
bacterial ^jj+atrb+++=bacterial
taxa ^nn+++??+=taxa
have ^vb+hv+aux++=have
experienced ^vprf+++xvbnx+=experienced
an ^at++++=an
expansion ^nn++++=expansion
of ^in++++=of
insertion ^nn+nom+++=insertion
sequence ^nn+nom+++=sequence
elements ^nns+nom+++=elements
during ^in++++=during
their ^pp$+pp3+++=their
evolution ^nn+nom+++=evolution,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
genomes ^nns+++??+=genomes
that ^tht+rel+subj++=that
contain ^vb++++=contain
hundreds ^cds++++=hundreds
of ^in++++=of
1 ^zz++++=1
2 ^zz++++=2
kbp ^nn+++??+=kbp
repeat ^nn++++=repeat
sequences ^nns+nom+++=sequences.
. ^zz++++=EXTRAWORD
Accurate ^jj+atrb+++=Accurate
assembly ^nn++++=assembly
of ^in++++=of
these ^dt+dem+++=these
genomes ^nns+++??+=genomes
is ^vbz+bez+aux++=is
challenging ^vbg+++xvbgx+=challenging
because ^cs+cos+++=because
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing
tools ^nns++++=tools
often ^rb++++=often
have ^vb+hv+vrb++=have
difficulty ^nn++++=difficulty
correcting ^vwbg+++xvbg+=correcting
errors ^nns++++=errors
within ^in++++=within
high ^jj++++=high-copy-number
- ^zz++++=EXTRAWORD
copy ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
number ^nn++++=EXTRAWORD
repeats ^vbz+vpub+++=repeats
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2b ^cd++++=2B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
maximise ^vbi++++=maximise
the ^ati++++=the
accuracy ^nn+nom+++=accuracy
of ^in++++=of
assemblies ^nns++++=assemblies
generated ^vbd+++xvbn+=generated
using ^vbg+++xvbg+=using
Oxford ^np++++=Oxford
Nanopore ^np+++??+=Nanopore
Technologies ^np+++??+=Technologies
( ^zz++++=(ONT)
ont ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
data ^nns++++=data
alone ^rb++++=alone
by ^in++++=by
employing ^xvbg+++xvbg+=employing
high ^jj++++=high
Ont ^&fw++++=ONT
sequencing ^jj+atrb++xvbg+=sequencing
depth ^nn++++=depth,
, ^zz++++=EXTRAWORD
R10.4.1 ^np+++??+=R10.4.1
flow ^nn++++=flow
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
super ^jj+atrb+++=super
basecalling ^nn+nom+++=basecalling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Medaka ^np+++??+=Medaka
polishing ^vwbg+++xvbg+=polishing,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reducing ^vbg+++xvbg+=reducing
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
errors ^nns++++=errors
that ^tht+rel+subj++=that
remain ^vb++++=remain
for ^in++++=for
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
mate ^nn++++=mate-pair
- ^zz++++=EXTRAWORD
pair ^nn++++=EXTRAWORD
Illumina ^np+++??+=Illumina
sequencing ^vwbg+++xvbg+=sequencing
may ^md+pos+++=may
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
correction ^nn+nom+++=correction
of ^in++++=of
errors ^nns++++=errors
within ^in++++=within
repeat ^nn++++=repeat
regions ^nns++++=regions
by ^in++++=by
Polypolish ^np+++??+=Polypolish,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
can ^md+pos+++=can
decrease ^vb++++=decrease
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
ambiguous ^jj++++=ambiguous
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv+++=EXTRAWORD
alignments ^nns+nom+++=alignments.
. ^zz++++=EXTRAWORD
