Regarding ^in++++=Regarding
the ^ati++++=the
temporal ^jj+atrb+++=temporal
coverage ^nn+nom+++=coverage
of ^in++++=of
the ^ati++++=the
available ^jj+atrb+++=available
data ^nns++++=data,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corpus ^nn++++=corpus
encompasses ^vbz++++=encompasses
over ^in++++=over
a ^at++++=a
century ^nn++++=century
of ^in++++=of
indexed ^vbd+++xvbn+=indexed
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
scientific ^jj+atrb+++=scientific
production ^nn+nom+++=production,
, ^zz++++=EXTRAWORD
with ^in++++=with
documents ^nns+nom+++=documents
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
1909 ^cd+date+++=1909
to ^in++++=to
May ^md+pos+++=May
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
articles ^nns++++=articles
( ^zz++++=(84.2%)
84.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published
between ^in++++=between
2005 ^cd++++=2005
and ^cc++++=and
2018 ^cd++++=2018.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proportion ^nn+nom+++=proportion
of ^in++++=of
documents ^nns+nom+++=documents
from ^in++++=from
2019 ^cd++++=2019
is ^vbz+bez+vrb++=is
considerably ^rb++++=considerably
lower ^jjr+pred+++=lower
( ^zz++++=(0.67%)
0.67 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
because ^cs+cos+++=because
data ^nns++++=data
collection ^nn+nom+++=collection
occurred ^vbd+++xvbn+=occurred
between ^in++++=between
May ^md+pos+++=May
and ^cc++++=and
June ^nr++++=June
of ^in++++=of
that ^dt+dem+++=that
year ^nn++++=year,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
only ^rb+down+++=only
partial ^jj+atrb+++=partial
coverage ^nn+nom+++=coverage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earliest ^nn++++=earliest
records ^nns++++=records
are ^vb+ber+vrb++=are
from ^in++++=from
Mem ^np+++??+=Mem
rias ^vbz+++??+=rias
do ^vb+do+vrb++=do
Instituto ^np+++??+=Instituto
Oswaldo ^np+++??+=Oswaldo
Cruz ^np++++=Cruz,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contributed ^vbd+++xvbn+=contributed
582 ^cd++++=582
documents ^nns+nom+++=documents
between ^in++++=between
1909 ^cd+date+++=1909
and ^cc++++=and
1939 ^cd+date+++=1939.
. ^zz++++=EXTRAWORD
Subsequent ^jj+atrb+++=Subsequent
early ^jj+atrb+++=early
entries ^nns++++=entries
include ^vb++++=include
Revista ^np+++??+=Revista
Chilena ^np+++??+=Chilena
de ^&fw++++=de
Pediatr ^np+++??+=Pediatr
a ^at++++=a
( ^zz++++=(1940),
1940 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bragantia ^np+++??+=Bragantia
( ^zz++++=(1941),
1941 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Arquivos ^np+++??+=Arquivos
de ^&fw++++=de
Neuro ^np+++??+=Neuro-Psiquiatria
- ^zz++++=EXTRAWORD
psiquiatria ^nn+++??+=EXTRAWORD
( ^zz++++=(1943),
1943 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anais ^np+++??+=Anais
da ^np++++=da
Escola ^np+++??+=Escola
Superior ^jj++++=Superior
de ^&fw++++=de
Agricultura ^np+++??+=Agricultura
Luiz ^np+++??+=Luiz
de ^&fw++++=de
Queiroz ^np+++??+=Queiroz
now ^rn+tm+++=now
Scientia ^np+++??+=Scientia
Agricola ^np+++??+=Agricola
( ^zz++++=(1944).
1944 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
initial ^jj+atrb+++=initial
appearances ^nns+nom+++=appearances
of ^in++++=of
journal ^nn++++=journal
documents ^nns+nom+++=documents
from ^in++++=from
other ^ap++++=other
countries ^nns++++=countries
are ^vb+ber+aux++=are
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
Colombia ^np+++??+=Colombia
( ^zz++++=(1969),
1969 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mexico ^np++++=Mexico
( ^zz++++=(1974),
1974 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Argentina ^np++++=Argentina
and ^cc++++=and
Cuba ^np++++=Cuba
( ^zz++++=(1993),
1993 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Costa ^np++++=Costa
Rica ^np+++??+=Rica
and ^cc++++=and
Peru ^np++++=Peru
( ^zz++++=(1995),
1995 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Venezuela ^np+++??+=Venezuela
s ^zz++++=s
Revista ^np+++??+=Revista
de ^&fw++++=de
la ^&fw++++=la
Facultad ^np+++??+=Facultad
de ^&fw++++=de
Medicina ^np+++??+=Medicina
( ^zz++++=(1984),
1984 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
