If ^cs+cnd+++=If
automation ^nn+nom+++=automation
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required,
, ^zz++++=EXTRAWORD
modifications ^nns+nom+++=modifications
to ^in++++=to
the ^ati++++=the
workflow ^nn+++??+=workflow
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
Flye19 ^np+++??+=Flye19
is ^vbz+bez+vrb++=is
less ^rbr++++=less
likely ^jj+pred+++=likely
than ^in++++=than
other ^ap++++=other
long ^jj++++=long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
assemblers ^nns+nom+++=assemblers
to ^to++++=to
generate ^nn+nom+++=generate
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
errors ^nns++++=errors
that ^tht+rel+subj++=that
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
corrected ^vpsv++by+xvbnx+=corrected
by ^in++++=by
downstream ^rb+pl+++=downstream
polishing ^nvbg+++xvbg+=polishing
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
a ^at++++=a
suitable ^jj+atrb+++=suitable
alternative ^nn++++=alternative
to ^in++++=to
Trycycler ^np+nom++??+=Trycycler.
. ^zz++++=EXTRAWORD
Prior ^jj++++=Prior
to ^to++++=to
polishing ^vbi++++=polishing
with ^in++++=with
Medaka ^np+++??+=Medaka,
, ^zz++++=EXTRAWORD
circular ^jj+atrb+++=circular
Flye ^np+++??+=Flye
contigs ^nns+++??+=contigs
should ^md+nec+++=should
be ^vb+be+aux++=be
rotated ^vpsv++agls+xvbnx+=rotated
to ^in++++=to
either ^dtx++++=either
a ^at++++=a
consistent ^jj+atrb+++=consistent
starting ^jj+atrb++xvbg+=starting
sequence ^nn+nom+++=sequence
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
dnaa36 ^nn+++??+=dnaA36)
) ^zz++++=EXTRAWORD
or ^cc++++=or
a ^at++++=a
random ^rb++++=random
starting ^nvbg+++xvbg+=starting
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
step ^nn++++=step
relocates ^nns+nom+++=relocates
any ^dti++++=any
duplicated ^jj+atrb++xvbn+=duplicated
or ^cc+phrs+++=or
missing ^jj+atrb++xvbg+=missing
bases ^nns++++=bases
from ^in++++=from
the ^ati++++=the
termini ^nn+++??+=termini
of ^in++++=of
circular ^jj+atrb+++=circular
contigs ^nns+++??+=contigs
to ^in++++=to
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
sequence ^nn+nom+++=sequence,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
polishing ^nvbg+++xvbg+=polishing
tools ^nns++++=tools
are ^vb+ber+vrb++=are
more ^rbr++++=more
effective ^jj+pred+++=effective
at ^rb++++=at
correcting ^vbg+++xvbg+=correcting
such ^abl++++=such
errors ^nns++++=errors.
. ^zz++++=EXTRAWORD
For ^in++++=For
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Polypolish ^np+++??+=Polypolish
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
Polca ^np+++??+=POLCA
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
tools ^nns++++=tools
have ^vb+hv+vrb++=have
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
likelihood ^nn+nom+++=likelihood
of ^in++++=of
introducing ^jj+atrb+++=introducing
additional ^jj+atrb+++=additional
errors ^nns++++=errors.
. ^zz++++=EXTRAWORD
