With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
executive ^jj+atrb+++=executive
functions ^nns+nom+++=functions
and ^cc++++=and
other ^ap++++=other
abilities ^nns+nom+++=abilities
associated ^vbd+++xvbn+=associated
with ^in++++=with
frontal ^jj+atrb+++=frontal
lobe ^nn+++??+=lobe
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
Ardila ^np+++??+=Ardila
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1995)
1995 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
parental ^jj+atrb+++=parental
socioeconomic ^nn++++=socioeconomic
status ^nn++++=status
as ^in++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
factor ^nn++++=factor
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
group ^nn++++=group
differences ^nns+nom+++=differences.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
literature ^nn++++=literature
presents ^vbz++++=presents
mixed ^xvbn+++xvbn+=mixed
findings ^nns++++=findings
regarding ^in++++=regarding
its ^pp$+it+++=its
impact ^nn++++=impact
on ^in++++=on
Cuban ^jj+atrb+++=Cuban
child ^nn++++=child
development ^nn+nom+++=development;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
some ^dti++++=some
studies ^nns++++=studies
report ^vb++++=report
no ^at++++=no
significant ^jj+atrb+++=significant
effect ^nn++++=effect
( ^zz++++=(Jim
jim ^np++++=EXTRAWORD
nez ^nn+++??+=nez-Col
- ^zz++++=EXTRAWORD
col ^npt++++=EXTRAWORD
n ^zz++++=n
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
others ^aps++++=others
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
socioeconomic ^jj+atrb+++=socioeconomic
status ^nn++++=status
does ^vbz+doz+aux++=does
play ^vb++++=play
a ^at++++=a
role ^nn++++=role
( ^zz++++=(Mora
mora ^nn++++=EXTRAWORD
& ^zz++++=&
anangon ^np++++=Anangon
, ^zz++++=,
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
