Given ^vbd+++xvbn+=Given
the ^ati++++=the
scenario ^nn++++=scenario
outlined ^vbd+++xvbn+=outlined,
, ^zz++++=EXTRAWORD
the ^ati++++=the
insufficient ^jj+atrb+++=insufficient
technological ^jj+atrb+++=technological
infrastructure ^nn+++??+=infrastructure
in ^in++++=in
both ^abx++++=both
public ^jj+atrb+++=public
schools ^nns++++=schools
and ^cc++++=and
households ^nns++++=households
supports ^vbz++++=supports
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
neither ^dt++neg++=neither
environment ^nn+nom+++=environment
is ^vbz+bez+aux++=is
adequately ^rb++splt++=adequately
prepared ^jj++agls+xvbnx+=prepared
to ^to+jcmp+++=to
implement ^nn+nom+++=implement
a ^at++++=a
curriculum ^nn++++=curriculum
that ^tht+rel+subj++=that
requires ^vbz++++=requires
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
digital ^jj+atrb+++=digital
equipment ^nn+nom+++=equipment
and ^cc++++=and
technical ^jj+atrb+++=technical
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
challenge ^nn++++=challenge
is ^vbz+bez+aux++=is
further ^jjb+pred+++=further
compounded ^vpsv++by+xvbn+=compounded
by ^in++++=by
the ^ati++++=the
inadequate ^jj+atrb+++=inadequate
training ^nn++++=training
of ^in++++=of
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
limits ^nns++++=limits
their ^pp$+pp3+++=their
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
effectively ^rb++splt++=effectively
integrate ^nn+nom+++=integrate
their ^pp$+pp3+++=their
subject ^nn++++=subject
expertise ^nn++++=expertise
with ^in++++=with
digital ^jj+atrb+++=digital
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns++++=technologies
( ^zz++++=(DICT)
dict ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
curriculum ^nn++++=curriculum
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
