Documents ^nns+nom+++=Documents
convey ^vb++++=convey
statements ^nns+nom+++=statements
about ^in++++=about
the ^ati++++=the
world ^nn++++=world
that ^tht+rel+++=that
aim ^vb++++=aim
to ^to+vcmp+++=to
provide ^vbi+vsua+++=provide
specific ^jj+atrb+++=specific
representations ^nns+nom+++=representations
of ^in++++=of
reality ^nn+nom+++=reality
and ^cc++++=and
propose ^vb++++=propose
idealized ^jj+atrb++xvbn+=idealized
solutions ^nns+nom+++=solutions
to ^to++++=to
identified ^vbi++++=identified
problems ^nns++++=problems.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
recognize ^vbi+vprv+++=recognize
that ^tht+vcmp+++=that
any ^dti++++=any
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
by ^in++++=by
prioritizing ^xvbg+++xvbg+=prioritizing
certain ^jj+atrb+++=certain
objects ^nns++++=objects
and ^cc++++=and
concepts ^nns++++=concepts,
, ^zz++++=EXTRAWORD
necessarily ^rb++++=necessarily
excludes ^nns+++??+=excludes
others ^aps++++=others.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
selective ^jj+atrb+++=selective
emphasis ^nn++++=emphasis
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
a ^at++++=a
discourse ^nn++++=discourse
that ^tht+rel+subj++=that
supports ^vbz++++=supports
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
dominant ^jj+atrb+++=dominant
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
raising ^jj+atrb++xvbg+=raising
questions ^nns+nom+++=questions
about ^rb++++=about
whether ^cs+who+++=whether
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
benefits ^nns++++=benefits
extend ^vb++++=extend
to ^in++++=to
individuals ^nns+nom+++=individuals
outside ^jjb++++=outside
these ^dt+dem+++=these
groups ^nns++++=groups
( ^zz++++=(Ball,
ball ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994,
, ^zz++++=EXTRAWORD
as ^in++++=as
cited ^nn++++=cited
in ^in++++=in
Shiroma ^np+++??+=Shiroma
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
439 ^cd++++=439).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
