Marianne ^np+++??+=Marianne,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
native ^jj+atrb+++=native
speaker ^npt++++=speaker
of ^in++++=of
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
nevertheless ^rb+cnj+++=nevertheless
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
respond ^vb++++=respond
appropriately ^rb++++=appropriately
to ^in++++=to
Mestre ^np+++??+=Mestre
Jo ^np++++=Jo
o ^zz++++=o
s ^zz++++=s
apology ^nn++++=apology
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
Throughout ^in++++=Throughout
the ^ati++++=the
demonstration ^nn+nom+++=demonstration,
, ^zz++++=EXTRAWORD
Mestre ^np+++??+=Mestre
Jo ^np++++=Jo
o ^zz++++=o
communicates ^nns+nom+++=communicates
exclusively ^rb++++=exclusively
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
supplementing ^vbg+++xvbg+=supplementing
his ^pp$+pp3+++=his
verbal ^jj+atrb+++=verbal
instructions ^nns+nom+++=instructions
with ^in++++=with
gestures ^nns++++=gestures
and ^cc++++=and
physical ^jj+atrb+++=physical
demonstrations ^nns+nom+++=demonstrations,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
employing ^jj+++xvbg+=employing
verbal ^jj++++=verbal,
, ^zz++++=EXTRAWORD
gestural ^jj++++=gestural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
embodied ^vbd+++xvbn+=embodied
translanguaging ^jj+++xvbg+=translanguaging.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
not ^xnot++not++=not
all ^abn++++=all
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
class ^nn++++=class
may ^md+pos+++=may
fully ^rb+amp+splt++=fully
understand ^vb+vprv+++=understand
the ^ati++++=the
verbal ^jj+atrb+++=verbal
component ^nn++++=component,
, ^zz++++=EXTRAWORD
all ^abn++++=all
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
comprehend ^vbi+++??+=comprehend
the ^ati++++=the
instructions ^nns+nom+++=instructions,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
by ^in++++=by
observing ^xvbg+++xvbg+=observing
the ^ati++++=the
demonstration ^nn+nom+++=demonstration
or ^cc++++=or
by ^in++++=by
imitating ^vbg+++xvbg+=imitating
the ^ati++++=the
actions ^nns+nom+++=actions
of ^in++++=of
other ^ap++++=other
group ^nn++++=group
members ^nns+nom+++=members.
. ^zz++++=EXTRAWORD
