On ^in++++=On
average ^jj++++=average,
, ^zz++++=EXTRAWORD
the ^ati++++=the
structural ^jj+atrb+++=structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
of ^in++++=of
stems ^nns++++=stems
maintained ^vbd+vpub++xvbn+=maintained
in ^in++++=in
a ^at++++=a
moist ^jj+atrb+++=moist
condition ^nn+nom+++=condition
remains ^nns++++=remains
consistent ^jj++++=consistent
over ^in++++=over
time ^nn++++=time
( ^zz++++=(F(59)
f(59 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
0.001 ^nn+++??+=0.001;
; ^zz++++=EXTRAWORD
P ^zz++++=P
= ^zz++++==
0.96 ^nn+++??+=0.96;
; ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
2a ^cd++++=2a),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
mean ^jj+atrb+++=mean
value ^nn++++=value
of ^in++++=of
approximately ^rb+down+++=approximately
4360 ^cd++++=4360
316 ^cd++++=316
Mn ^np+++??+=MN
m ^zz++++=m
2 ^zz++++=2
and ^cc++++=and
a ^at++++=a
median ^nn++++=median
of ^in++++=of
4331 ^cd++++=4331
Mn ^np+++??+=MN
m ^zz++++=m
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
stems ^nns++++=stems
subjected ^vwbn+++xvbn+=subjected
to ^in++++=to
gradual ^jj+atrb+++=gradual
dehydration ^nn+nom+++=dehydration
exhibit ^vb++++=exhibit
a ^at++++=a
significant ^jj+atrb+++=significant
increase ^nn++++=increase
in ^in++++=in
structural ^jj+atrb+++=structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
over ^in++++=over
time ^nn++++=time
( ^zz++++=(F(59)
f(59 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
21.54 ^cd++++=21.54;
; ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.001 ^nn+++??+=0.001;
; ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
2b ^cd++++=2b;
; ^zz++++=EXTRAWORD
Supplementary ^jj+atrb+++=Supplementary
Material ^nn++++=Material
Table ^nn++++=Table
S1 ^np+++??+=S1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Relative ^jj+atrb+++=Relative
water ^nn++++=water
content ^nn++++=content
in ^in++++=in
these ^dt+dem+++=these
dehydrating ^jj+atrb++xvbg+=dehydrating
stems ^nns++++=stems
decreases ^vbz++++=decreases
exponentially ^rb++++=exponentially
with ^in++++=with
time ^nn++++=time
( ^zz++++=(F(59)
f(59 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
215.3 ^cd++++=215.3;
; ^zz++++=EXTRAWORD
P ^zz++++=P
< ^zz++++=<
0.001 ^nn+++??+=0.001;
; ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
2c ^cd++++=2c;
; ^zz++++=EXTRAWORD
Supplementary ^jj+atrb+++=Supplementary
Material ^nn++++=Material
Table ^nn++++=Table
S2 ^np+++??+=S2),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
significant ^jj+atrb+++=significant
negative ^jj+atrb+++=negative
exponential ^nn++++=exponential
relationship ^nn+nom+++=relationship
between ^in++++=between
structural ^jj+atrb+++=structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
and ^cc++++=and
stem ^nn++++=stem
relative ^jj+atrb+++=relative
water ^nn++++=water
content ^nn++++=content
( ^zz++++=(F(59)
f(59 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
11.46 ^cd++++=11.46;
