While ^cs+sub+++=While
the ^ati++++=the
approximately ^rb+down+++=approximately
5 ^zz++++=5
kbp ^nn+++??+=kbp
rrna ^nn+++??+=rRNA
operon ^nn+++??+=operon
represents ^vbz++++=represents
the ^ati++++=the
longest ^jjt+atrb+++=longest
repeat ^nn++++=repeat
in ^in++++=in
many ^ap++++=many
bacterial ^jj+atrb+++=bacterial
genomes ^nns+++??+=genomes,
, ^zz++++=EXTRAWORD
longer ^rbr++++=longer
repetitive ^jj+atrb+++=repetitive
sequences ^nns+nom+++=sequences
can ^md+pos+++=can
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chromosome ^nn++++=chromosome
of ^in++++=of
Mycobacterium ^np+++??+=Mycobacterium
smegmatis ^nns+++??+=smegmatis
mc2155 ^nn+++??+=mc2155
contains ^vbz++++=contains
a ^at++++=a
56 ^cd++++=56
kbp ^nn+++??+=kbp
duplication ^nn+nom+++=duplication.
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
standard ^jj+atrb+++=standard
Oxford ^np++++=Oxford
Nanopore ^np+++??+=Nanopore
Technologies ^np+++??+=Technologies
( ^zz++++=(ONT)
ont ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=read
lengths ^nns++++=lengths
of ^in++++=of
around ^in++++=around
20 ^cd++++=20
kbp ^nn+++??+=kbp
may ^md+pos+++=may
be ^vb+be+vrb++=be
inadequate ^jj+pred+++=inadequate
for ^in++++=for
complete ^jj+atrb+++=complete
assembly ^nn++++=assembly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ultra ^rb++++=ultra-long
- ^zz++++=EXTRAWORD
long ^rb++++=EXTRAWORD
reads ^vbz++++=reads
of ^in++++=of
approximately ^rb+down+++=approximately
100 ^cd++++=100
kbp ^nn++++=kbp
are ^vb+ber+aux++=are
required ^vbd+++xvbn+=required
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2c ^cd++++=2C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
