As ^in++++=As
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
number ^nn++++=number
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
s ^zz++++=s
languages ^nns+nom+++=languages
become ^vb++++=become
endangered ^vbd+++xvbn+=endangered,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
documentation ^nn+nom+++=documentation
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
critical ^jj+atrb+++=critical
resource ^nn++++=resource
for ^in++++=for
both ^abx++++=both
linguists ^nns+nom+++=linguists
and ^cc++++=and
language ^nn+nom+++=language
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
Documentary ^jj+atrb+++=Documentary
linguists ^nns+nom+++=linguists
rely ^vb++++=rely
on ^in++++=on
digital ^jj+atrb+++=digital
archives ^nn++++=archives
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
preservation ^nn+nom+++=preservation,
, ^zz++++=EXTRAWORD
conservation ^nn+nom+++=conservation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accessibility ^nn+nom+++=accessibility
of ^in++++=of
the ^ati++++=the
materials ^nns+nom+++=materials
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
their ^pp$+pp3+++=their
work ^nn++++=work.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
article ^nn++++=article
examines ^vbz++++=examines
the ^ati++++=the
benefits ^nns++++=benefits
and ^cc++++=and
challenges ^vbz++++=challenges
associated ^vbd+++xvbn+=associated
with ^in++++=with
archiving ^xvbg+++xvbg+=archiving
in ^in++++=in
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
attention ^nn+nom+++=attention
to ^in++++=to
issues ^nns++++=issues
of ^in++++=of
preservation ^nn+nom+++=preservation,
, ^zz++++=EXTRAWORD
conservation ^nn+nom+++=conservation,
, ^zz++++=EXTRAWORD
access ^nn++++=access,
, ^zz++++=EXTRAWORD
ownership ^nn+nom+++=ownership,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
our ^pp$+pp1+++=our
experience ^nn+nom+++=experience
as ^ql++++=as
scholars ^nns++++=scholars
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
administration ^nn+nom+++=administration,
, ^zz++++=EXTRAWORD
contribution ^nn+nom+++=contribution
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
use ^nn++++=use
of ^in++++=of
language ^nn+nom+++=language
archives ^nn++++=archives
especially ^rb++++=especially
those ^dt+dem+++=those
related ^jj+++xvbn+=related
to ^in++++=to
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
languages ^nns+nom+++=languages
of ^in++++=of
Latin ^jj+atrb+++=Latin
America ^np++++=America
we ^pp1a+pp1+++=we
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
specific ^jj+atrb+++=specific
context ^nn++++=context
of ^in++++=of
language ^nn+nom+++=language
archiving ^vwbg+++xvbg+=archiving
in ^in++++=in
Brazil ^np++++=Brazil
and ^cc++++=and
its ^pp$+it+++=its
implications ^nns+nom+++=implications
for ^in++++=for
researchers ^nns+nom+++=researchers,
, ^zz++++=EXTRAWORD
community ^nn+nom+++=community
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
stakeholders ^nns+nom+++=stakeholders.
. ^zz++++=EXTRAWORD
The ^ati++++=The
discussion ^nn++++=discussion
addresses ^nns+nom+++=addresses
the ^ati++++=the
necessary ^jj+atrb+++=necessary
steps ^nns++++=steps
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
quality ^nn+nom+++=quality
and ^cc++++=and
longevity ^nn+nom+++=longevity
of ^in++++=of
archived ^jj+atrb++xvbn+=archived
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
the ^ati++++=the
principles ^nns++++=principles
and ^cc++++=and
strategies ^nns+++??+=strategies
for ^in++++=for
making ^xvbg+++xvbg+=making
materials ^nns+nom+++=materials
accessible ^jj++++=accessible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
language ^nn+nom+++=language
archives ^nn++++=archives
can ^md+pos+++=can
support ^vb++++=support
ongoing ^vwbg+++xvbg+=ongoing
work ^nn++++=work
with ^in++++=with
indigenous ^jj+atrb+++=indigenous
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
language ^nn+nom+++=language
archives ^nn++++=archives
constitute ^vb++++=constitute
essential ^jj+atrb+++=essential
resources ^nns++++=resources
for ^in++++=for
both ^abx++++=both
scholars ^nns++++=scholars
and ^cc++++=and
communities ^nns+nom+++=communities
seeking ^vb+++xvbg+=seeking
to ^to+vcmp+++=to
revitalize ^vbi++++=revitalize,
, ^zz++++=EXTRAWORD
maintain ^vb+vpub+++=maintain,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
document ^nn+nom+++=document
their ^pp$+pp3+++=their
linguistic ^jj+atrb+++=linguistic
and ^cc+phrs+++=and
cultural ^jj+atrb+++=cultural
heritage ^nn+nom+++=heritage.
. ^zz++++=EXTRAWORD
