Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
analyzed ^jj+atrb++xvbn+=analyzed
data ^nns++++=data,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technology ^nn++++=technology
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
in ^in++++=in
quantitative ^jj+atrb+++=quantitative
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
through ^in++++=through
the ^ati++++=the
widespread ^jj+atrb+++=widespread
use ^nn++++=use
of ^in++++=of
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
qualitative ^jj+atrb+++=qualitative
access ^nn++++=access
has ^vbz+hvz+aux++=has
declined ^vprf+++xvbnx+=declined
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
significant ^jj+atrb+++=significant
reduction ^nn+nom+++=reduction
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
computer ^nn+nom+++=computer
devices ^nns++++=devices
that ^tht+rel+subj++=that
facilitate ^nn+nom+++=facilitate
more ^rbr++++=more
complex ^jj+atrb+++=complex
academic ^jj+atrb+++=academic
and ^cc+phrs+++=and
professional ^jj+atrb+++=professional
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cs+sub+++=as
diminished ^jj+atrb++xvbn+=diminished
access ^nn++++=access
through ^in++++=through
schools ^nns++++=schools
and ^cc++++=and
other ^ap++++=other
public ^jj+atrb+++=public
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
demonstrated ^vbd+vprv++xvbn+=demonstrated.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
academic ^jj+atrb+++=academic
and ^cc+phrs+++=and
professional ^jj+atrb+++=professional
knowledge ^nn++++=knowledge
related ^vbd+++xvbn+=related
to ^in++++=to
Ict ^np+++??+=ICT
among ^in++++=among
teachers ^nns+nom+++=teachers
has ^vbz+hvz+aux++=has
shown ^vprf+++xvbnx+=shown
minimal ^jj+atrb+++=minimal
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
the ^ati++++=the
referenced ^jj+atrb+++=referenced
literature ^nn++++=literature
review ^nn++++=review.
. ^zz++++=EXTRAWORD
