Access ^nn++++=Access
to ^in++++=to
knowledge ^nn++++=knowledge
in ^in++++=in
digital ^jj+atrb+++=digital
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(DICT)
dict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn+nom+++=population
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
progressed ^vprf+++xvbn+=progressed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Dict ^np+++??+=DICT
remains ^vbz++++=remains
excluded ^vbd+++xvbn+=excluded
from ^in++++=from
formal ^jj+atrb+++=formal
instruction ^nn+nom+++=instruction
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
due ^jj++++=due
to ^in+jcmp+++=to
insufficient ^jj+atrb+++=insufficient
technological ^jj+atrb+++=technological
and ^cc+phrs+++=and
human ^jj+atrb+++=human
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
schools ^nns++++=schools
are ^vb+ber+vrb++=are
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
implement ^nn+nom+++=implement
Dict ^np+++??+=DICT
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
The ^ati++++=The
social ^jj+atrb+++=social
groups ^nns++++=groups
most ^ap+emph+++=most
in ^in++++=in
need ^in"++++=need
of ^in"++++=of
such ^abl++++=such
instruction ^nn+nom+++=instruction,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
those ^dt+dem+++=those
in ^in++++=in
socioeconomic ^jj+atrb+++=socioeconomic
classes ^nns++++=classes
D ^zz++++=D
and ^cc++++=and
E ^zz++++=E,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
also ^rb++++=also
the ^ati++++=the
most ^ql+emph+++=most
economically ^rb++++=economically
disadvantaged ^jj+++xvbn+=disadvantaged.
. ^zz++++=EXTRAWORD
To ^to++++=To
acquire ^vbi++++=acquire
basic ^jj+atrb+++=basic
computing ^vbg+++xvbg+=computing
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
from ^in++++=from
these ^dt+dem+++=these
groups ^nns++++=groups
must ^md+nec+++=must
seek ^vb++++=seek
training ^nn++++=training
in ^in++++=in
private ^jj+atrb+++=private
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
as ^ql++++=as
public ^jj+atrb+++=public
telecenters ^nns+nom+++=telecenters
are ^vb+ber+aux++=are
inadequately ^rb++splt++=inadequately
equipped ^vpsv++agls+xvbnx+=equipped,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
familiarity ^nn+nom+++=familiarity
with ^in++++=with
digital ^jj+atrb+++=digital
tools ^nns++++=tools
is ^vbz+bez+aux++=is
typically ^rb++splt++=typically
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
only ^rb+down+++=only
the ^ati++++=the
most ^ql+emph+++=most
basic ^jj+atrb+++=basic
functions ^nns+nom+++=functions,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any.
. ^zz++++=EXTRAWORD
