Infrastructure ^np+++??+=Infrastructure
improvements ^nns+nom+++=improvements
were ^vbd+bed+aux++=were
achieved ^vpsv++agls+xvbnx+=achieved
through ^in++++=through
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn+nom+++=EXTRAWORD
cassette ^nn+nom+++=cassette
tape ^nn++++=tape
recorders ^nns+nom+++=recorders,
, ^zz++++=EXTRAWORD
microphones ^nns++++=microphones,
, ^zz++++=EXTRAWORD
laptops ^nns+++??+=laptops,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
solar ^jj+atrb+++=solar
equipment ^nn+nom+++=equipment
via ^in++++=via
research ^nn++++=research
projects ^nns++++=projects.
. ^zz++++=EXTRAWORD
In ^in++++=In
1996 ^cd+date+++=1996,
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
Bank ^npl++++=Bank
s ^zz++++=s
Centers ^nns+nom++??+=Centers
of ^in++++=of
Excellence ^nn+nom+++=Excellence
program ^vb+++??+=program
provided ^vbd+vsua++xvbn+=provided
Digital ^jj+atrb+++=Digital
Audio ^np+++??+=Audio
Tape ^nn++++=Tape
( ^zz++++=(DAT)
dat ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
players ^nns+nom+++=players,
, ^zz++++=EXTRAWORD
Hi ^uh++++=Hi-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
video ^nn+++??+=video
recorders ^nns+nom+++=recorders,
, ^zz++++=EXTRAWORD
a ^at++++=a
Hi ^uh++++=Hi-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
editing ^vbg+++xvbg+=editing
suite ^nn++++=suite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
professional ^jj+atrb+++=professional
storage ^nn+nom+++=storage
cabinets ^nns++++=cabinets.
. ^zz++++=EXTRAWORD
Building ^nvbg+++xvbg+=Building
on ^in++++=on
this ^dt+dem+++=this
foundation ^nn+nom+++=foundation,
, ^zz++++=EXTRAWORD
Goeldi ^np+++??+=Goeldi
linguists ^nns+nom+++=linguists,
, ^zz++++=EXTRAWORD
including ^in++++=including
both ^abx++++=both
fellows ^nns++++=fellows
and ^cc++++=and
affiliates ^nns+nom+++=affiliates,
, ^zz++++=EXTRAWORD
successfully ^rb++++=successfully
secured ^vbd+++xvbn+=secured
funding ^jj+++xvbg+=funding
from ^in++++=from
international ^jj+atrb+++=international
documentation ^nn+nom+++=documentation
programs ^nns+++??+=programs
that ^tht+rel+subj++=that
prioritize ^vb++++=prioritize
projects ^nns++++=projects
in ^in++++=in
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
early ^jj++++=early
2000s ^cd++++=2000s,
, ^zz++++=EXTRAWORD
additional ^jj+atrb+++=additional
equipment ^nn+nom+++=equipment
and ^cc++++=and
expertise ^nn++++=expertise
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
through ^in++++=through
projects ^nn++++=projects
funded ^vwbn+++xvbn+=funded
by ^in++++=by
the ^ati++++=the
Endangered ^np+++??+=Endangered
Languages ^nns+nom+++=Languages
Documentation ^np+nom++??+=Documentation
Programme ^nn++++=Programme
( ^zz++++=(ELDP)
eldp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Dokumentation ^np+nom++??+=Dokumentation
Bedrohter ^np+nom++??+=Bedrohter
Sprachen ^np+++??+=Sprachen
program ^nn+++??+=program
( ^zz++++=(DOBES).
dobes ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
process ^nns+nom+++=process
of ^in++++=of
documentation ^nn+nom+++=documentation
and ^cc++++=and
equipment ^nn+nom+++=equipment
procurement ^nn+nom+++=procurement,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
solid ^jj++++=solid-state
- ^zz++++=EXTRAWORD
state ^nn++++=EXTRAWORD
recorders ^nns+nom+++=recorders
with ^in++++=with
flash ^nn++++=flash
memory ^nn++++=memory,
