With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
intellectual ^jj+atrb+++=intellectual
development ^nn+nom+++=development
of ^in++++=of
the ^ati++++=the
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
the ^ati++++=the
performance ^nn+nom+++=performance
of ^in++++=of
the ^ati++++=the
Espirituano ^np+++??+=Espirituano
participants ^nns+nom+++=participants
on ^in++++=on
the ^ati++++=the
Raven ^np+++??+=Raven
test ^nn++++=test
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
than ^in++++=than
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
Cienfuegueros ^np+++??+=Cienfuegueros
group ^nn++++=group.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
support ^vb++++=support
the ^ati++++=the
view ^nn++++=view
that ^tht+ncmp+++=that
nonverbal ^jj+atrb+++=nonverbal
tests ^nns++++=tests
are ^vb+ber+vrb++=are
not ^xnot++not++=not
entirely ^rb+amp+++=entirely
free ^jj++++=free
from ^in++++=from
cultural ^jj+atrb+++=cultural
influences ^nns+nom+++=influences
( ^zz++++=(Ben
ben ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
nonverbal ^jj+atrb+++=nonverbal
tasks ^nns++++=tasks
involve ^vb++++=involve
complex ^jj+atrb+++=complex
reasoning ^jj+atrb++xvbg+=reasoning
processes ^nns+nom+++=processes
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
differences ^nns+nom+++=differences
in ^in++++=in
individual ^jj+atrb+++=individual
performance ^nn+nom+++=performance.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
Raven ^np+++??+=Raven
s ^zz++++=s
Matrices ^nns++++=Matrices
can ^md+pos+++=can
be ^vb+be+aux++=be
solved ^vpsv++agls+xvbnx+=solved
using ^vbg+++xvbg+=using
relatively ^rb++++=relatively
straightforward ^jj+atrb+++=straightforward
strategies ^nns+++??+=strategies
such ^abl++++=such
as ^ql++++=as
scanning ^jj+++xvbg+=scanning
vertically ^rb++++=vertically
or ^cc+phrs+++=or
horizontally ^rb+cnj+++=horizontally,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
also ^rb++++=also
require ^vb+vsua+++=require
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
more ^rbr++++=more
complex ^jj+atrb+++=complex
cognitive ^jj+atrb+++=cognitive
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
including ^in++++=including
induction ^nn+nom+++=induction
and ^cc++++=and
deduction ^nn+nom+++=deduction,
, ^zz++++=EXTRAWORD
inference ^nn+nom+++=inference
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
classification ^nn+nom+++=classification,
, ^zz++++=EXTRAWORD
hypothesis ^nn++++=hypothesis
generation ^nn+nom+++=generation
and ^cc++++=and
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
identification ^nn+nom+++=identification
of ^in++++=of
relationships ^nns+nom+++=relationships,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
image ^nn++++=image
extrapolation ^nn+nom+++=extrapolation.
. ^zz++++=EXTRAWORD
