Since ^cs+sub+++=Since
Illumina ^np+++??+=Illumina
reads ^nns++++=reads
are ^vb+ber+aux++=are
used ^vpsv++agls+xvbnx+=used
exclusively ^rb++++=exclusively
for ^in++++=for
final ^nn++++=final
polishing ^vwbg+++xvbg+=polishing
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Step ^nn++++=Step
5 ^zz++++=5),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
of ^in++++=of
secondary ^jj+atrb+++=secondary
importance ^nn+nom+++=importance
compared ^vbd+++xvbn+=compared
to ^in++++=to
Ont ^&fw++++=ONT
reads ^nns++++=reads.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
contemporary ^nn+nom+++=contemporary
Illumina ^np+++??+=Illumina
platforms ^nns++++=platforms
generate ^nn+nom+++=generate
comparable ^jj+atrb+++=comparable
data ^nns++++=data,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
150 ^cd++++=150-bp
- ^zz++++=EXTRAWORD
bp ^vb+++??+=EXTRAWORD
paired ^vbd+++xvbn+=paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
reads ^vbz++++=reads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
equally ^rb++++=equally
suitable ^jj+pred+++=suitable
for ^in++++=for
bacterial ^jj++++=bacterial
whole ^jj++++=whole-genome
- ^zz++++=EXTRAWORD
genome ^nn+++??+=EXTRAWORD
sequencing ^vwbg+++xvbg+=sequencing;
; ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
choice ^nn++++=choice
of ^in++++=of
instrument ^nn+nom+++=instrument
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
cost ^nn++++=cost
and ^cc++++=and
multiplexing ^jj+atrb++xvbg+=multiplexing
requirements ^nns+nom+++=requirements.
. ^zz++++=EXTRAWORD
Nextera ^np+++??+=Nextera
Xt ^np+++??+=XT
library ^nn+nom+++=library
preparations ^nns+nom+++=preparations
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
variable ^nn++++=variable
read ^vbd+vprv++xvbn+=read
depth ^nn++++=depth
across ^in+pl+++=across
the ^ati++++=the
genome ^nn+++??+=genome,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
regions ^nns++++=regions
of ^in++++=of
low ^jj+atrb+++=low
coverage ^nn+nom+++=coverage;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
Illumina ^np+++??+=Illumina
Dna ^np+++??+=DNA
Prep ^np+++??+=Prep
( ^zz++++=(also
also ^rb++++=EXTRAWORD
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
Nextera ^np+++??+=Nextera
Dna ^np+++??+=DNA
Flex ^np+++??+=Flex)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Truseq ^np+++??+=TruSeq
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
preferred ^vpsv++agls+xvbnx+=preferred.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Nextera ^np+++??+=Nextera
Xt ^np+++??+=XT
is ^vbz+bez+aux++=is
employed ^vpsv++agls+xvbnx+=employed,
, ^zz++++=EXTRAWORD
a ^at++++=a
high ^jj+atrb+++=high
mean ^jj+atrb+++=mean
depth ^nn++++=depth
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
300 ^cd++++=300
) ^zz++++=)
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
mitigate ^nn+nom+++=mitigate
depth ^nn++++=depth
variability ^nn+nom+++=variability,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
a ^at++++=a
mean ^jj+atrb+++=mean
depth ^nn++++=depth
of ^in++++=of
100 ^cd++++=100
is ^vbz+bez+vrb++=is
usually ^rb+down+++=usually
adequate ^jj+pred+++=adequate
with ^in++++=with
other ^ap++++=other
library ^nn+nom+++=library
preparations ^nns+nom+++=preparations.
. ^zz++++=EXTRAWORD
For ^in++++=For
genomes ^nns+++??+=genomes
with ^in++++=with
high ^jj+atrb+++=high
repeat ^nn++++=repeat
content ^nn++++=content,
, ^zz++++=EXTRAWORD
mate ^nn++++=mate-pair
- ^zz++++=EXTRAWORD
pair ^nn++++=EXTRAWORD
library ^nn+nom+++=library
preparations ^nns+nom+++=preparations
may ^md+pos+++=may
enhance ^nn+nom+++=enhance
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Pitfalls ^nns++++=Pitfalls).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
sequencing ^nvbg+++xvbg+=sequencing,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
advisable ^vb+pred+++=advisable
to ^to+vcmp+++=to
use ^vbi++++=use
a ^at++++=a
quality ^nn+nom+++=quality
control ^nn++++=control
tool ^nn++++=tool
such ^abl++++=such
as ^ql++++=as
fastp ^vb+++??+=fastp
to ^to++++=to
remove ^vbi++++=remove
low ^jj++++=low-quality
- ^zz++++=EXTRAWORD
quality ^nn+nom+++=EXTRAWORD
bases ^nns++++=bases
and ^cc++++=and
adapter ^jjr+atrb+++=adapter
sequences ^nns+nom+++=sequences.
. ^zz++++=EXTRAWORD
