According ^in+cmpx+++=According
to ^in++++=to
Coesel ^np+++??+=Coesel
and ^cc++++=and
Meesters ^nns+nom++??+=Meesters
( ^zz++++=(2007),
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cosmarium ^np+++??+=Cosmarium
pseudopyramidatum ^nn+++??+=pseudopyramidatum
is ^vbz+bez+vrb++=is
morphologically ^rb++++=morphologically
similar ^jj+pred+++=similar
to ^in++++=to
Cosmarium ^np+++??+=Cosmarium
pyramidatum ^nn+++??+=pyramidatum
Br ^np+++??+=Br
bisson ^nn+++??+=bisson
ex ^jjb++++=ex
Ralfs ^np+++??+=Ralfs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
pyrenoid ^nn+++??+=pyrenoid
per ^nnu++++=per
semicell ^nn+++??+=semicell
and ^cc++++=and
a ^at++++=a
maximum ^nn++++=maximum
length ^rb++++=length
of ^in++++=of
up ^rp++++=up
to ^to++++=to
60 ^cd++++=60
m ^zz++++=m.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
survey ^nn++++=survey,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
single ^jj+atrb+++=single
specimen ^nn++++=specimen
of ^in++++=of
c ^zz++++=C.
. ^zz++++=EXTRAWORD
pseudopyramidatum ^nn++++=pseudopyramidatum
was ^vbd+bedz+aux++=was
collected ^vbd+++xvbn+=collected.
. ^zz++++=EXTRAWORD
