Within ^in++++=Within
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Oliva ^np+++??+=OLIVA
project ^nn++++=project
( ^zz++++=(Latin
latin ^jj+atrb+++=EXTRAWORD
American ^jj+atrb+++=American
Observatory ^np+++??+=Observatory
of ^in++++=of
evaluation ^nn+nom+++=eVAluation
Indicators ^nns++++=Indicators)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
as ^ql++++=as
an ^at++++=an
initiative ^nn++++=initiative
of ^in++++=of
the ^ati++++=the
Centro ^np+++??+=Centro
de ^&fw++++=de
Estudios ^np+++??+=Estudios
de ^&fw++++=de
la ^&fw++++=la
Circulaci ^np+++??+=Circulaci
n ^zz++++=n
del ^&fw++++=del
Conocimiento ^np+++??+=Conocimiento
( ^zz++++=(CECIC-Facultad
cecic ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
facultad ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Ciencias ^np+++??+=Ciencias
Pol ^np+++??+=Pol
ticas ^nns+++??+=ticas
y ^zz++++=y
Sociales ^np+++??+=Sociales),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
received ^vbd+++xvbn+=received
approval ^nn+nom+++=approval
and ^cc++++=and
funding ^nvbg+++xvbg+=funding
from ^in++++=from
the ^ati++++=the
Universidad ^np+++??+=Universidad
Nacional ^np+nom++??+=Nacional
de ^&fw++++=de
Cuyo ^np+++??+=Cuyo
in ^in++++=in
early ^jj++++=early
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
objective ^nn++++=objective
of ^in++++=of
the ^ati++++=the
project ^nn++++=project
is ^vbz+bez+aux++=is
to ^to++++=to
enhance ^nn+nom+++=enhance
the ^ati++++=the
visibility ^nn+nom+++=visibility
of ^in++++=of
scientific ^jj+atrb+++=scientific
output ^nn++++=output
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
and ^cc++++=and
to ^to++++=to
develop ^vbi++++=develop
indicators ^vb++++=indicators
that ^tht+vcmp+subj++=that
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
recognition ^nn+nom+++=recognition
of ^in++++=of
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
these ^dt+dem+++=these
journals ^nns+nom+++=journals
for ^in++++=for
the ^ati++++=the
evaluation ^nn+nom+++=evaluation
of ^in++++=of
individual ^jj+atrb+++=individual
academic ^jj+atrb+++=academic
careers ^nns+nom+++=careers
and ^cc++++=and
institutions ^nns+nom+++=institutions.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
first ^od++++=first
phase ^nn++++=phase
of ^in++++=of
the ^ati++++=the
project ^nn++++=project,
, ^zz++++=EXTRAWORD
collaboration ^nn+nom+++=collaboration
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
with ^in++++=with
the ^ati++++=the
Scielo ^np+++??+=SciELO/FAPESP
Program ^np+++??+=Program
of ^in++++=of
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Redalyc ^np+++??+=Redalyc
at ^in++++=at
the ^ati++++=the
Universidad ^np+++??+=Universidad
Aut ^np+++??+=Aut
noma ^nn+++??+=noma
del ^&fw++++=del
Estado ^np+++??+=Estado
de ^&fw++++=de
M ^zz++++=M
xico ^nn+++??+=xico
( ^zz++++=(UAEM,
uaem ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Mexico ^np++++=Mexico),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Consejo ^np+++??+=Consejo
Latinoamericano ^np+++??+=Latinoamericano
de ^&fw++++=de
Ciencias ^np+++??+=Ciencias
Sociales ^np+++??+=Sociales
( ^zz++++=(CLACSO).
clacso ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
outcomes ^nns+++??+=outcomes
of ^in++++=of
this ^dt+dem+++=this
initial ^jj+atrb+++=initial
phase ^nn++++=phase
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
phase ^nn++++=phase
aims ^vb++++=aims
to ^to+vcmp+++=to
incorporate ^nn+nom+++=incorporate
documents ^nns+nom+++=documents
from ^in++++=from
journals ^nns+nom+++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Latindex ^np+++??+=Latindex
Catalog ^np+++??+=Catalog
2.0 ^cd++++=2.0
and ^cc++++=and
Biblat ^np+++??+=Biblat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pilot ^nn++++=pilot
project ^nn++++=project
involving ^vbg+++xvbg+=involving
these ^dt+dem+++=these
institutions ^nns+nom+++=institutions
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
in ^in++++=in
progress ^nns+nom+++=progress.
. ^zz++++=EXTRAWORD
