During ^in++++=During
a ^at++++=a
capoeira ^nn+++??+=capoeira
game ^nn++++=game,
, ^zz++++=EXTRAWORD
both ^abx++++=both
participants ^nns+nom+++=participants
closely ^rb++++=closely
observe ^vb+vprv+++=observe
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
an ^at++++=an
effort ^nn++++=effort
to ^to+ncmp+++=to
anticipate ^nn+nom+++=anticipate
and ^cc+phrs+++=and
respond ^vb++++=respond
to ^in++++=to
their ^pp$+pp3+++=their
opponent ^nn++++=opponent
s ^zz++++=s
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
by ^in++++=by
executing ^xvbg+++xvbg+=executing
an ^at++++=an
attack ^nn++++=attack
or ^cc++++=or
evading ^xvbg+++xvbg+=evading
using ^vbg+++xvbg+=using
techniques ^nns++++=techniques
from ^in++++=from
their ^pp$+pp3+++=their
repertoire ^nn++++=repertoire.
. ^zz++++=EXTRAWORD
At ^rb++++=At
times ^nns++++=times,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
engage ^vb++++=engage
in ^in++++=in
synchronized ^vbd+++xvbn+=synchronized
ginga ^jj+atrb++??+=ginga
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
mirroring ^jj+++xvbg+=mirroring
each ^dt++++=each
other ^ap++++=other
s ^zz++++=s
actions ^nns+nom+++=actions.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
even ^rb++++=even
during ^in++++=during
these ^dt+dem+++=these
synchronized ^jj+atrb++xvbn+=synchronized
sequences ^nns+nom+++=sequences,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
remains ^nns++++=remains
a ^at++++=a
persistent ^jj+atrb+++=persistent
awareness ^nns+nom+++=awareness
of ^in++++=of
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
an ^at++++=an
imminent ^jj+atrb+++=imminent
attack ^nn++++=attack
from ^in++++=from
either ^dtx++++=either
participant ^nn+nom+++=participant.
. ^zz++++=EXTRAWORD
