English ^jj++++=English
was ^vbd+bedz+vrb++=was
the ^ati++++=the
primary ^jj+atrb+++=primary
language ^nn+nom+++=language
of ^in++++=of
instruction ^nn+nom+++=instruction
in ^in++++=in
the ^ati++++=the
capoeira ^nn+++??+=capoeira
classes ^nns++++=classes
observed ^vbd+++xvbn+=observed
during ^in++++=during
the ^ati++++=the
practice ^nn++++=practice
phase ^nn++++=phase;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
some ^dti++++=some
brief ^jj+atrb+++=brief
instructions ^nns+nom+++=instructions
were ^vbd+bed+aux++=were
given ^vpsv++agls+xvbnx+=given
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^in++++=as
" ^zz++++="rol
rol ^nn+++??+=EXTRAWORD
" ^zz++++="
( ^zz++++=(roll),
roll ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="troca"
troca ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(change),
change ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="desce"
desce ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(go
go ^vb++++=EXTRAWORD
down ^rp++++=down).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Sandro ^np+++??+=Sandro
used ^vwbn+++xvbn+=used
Portuguese ^nn+nom+++=Portuguese
when ^wrb+who+++=when
communicating ^jj++++=communicating
with ^in++++=with
participants ^nns+nom+++=participants
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
proficient ^jj+pred+++=proficient
in ^in++++=in
the ^ati++++=the
language ^nn+nom+++=language
and ^cc++++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
addressed ^xvbn+++xvbn+=addressed
the ^ati++++=the
entire ^jjb+atrb+++=entire
group ^nn++++=group
in ^in++++=in
portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
