Only ^rb+down+++=Only
three ^cd++++=three
task ^nn++++=task
pairs ^nns++++=pairs
demonstrated ^vbd+vprv++xvbn+=demonstrated
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
( ^zz++++=(H(6)
h(6 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
24.881 ^cd++++=24.881,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001):
001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
tasks ^nns++++=tasks
1 ^zz++++=1-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
. ^zz++++=.008),
008 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tasks ^nns++++=tasks
2 ^zz++++=2-6
- ^zz++++=EXTRAWORD
6 ^zz++++=EXTRAWORD
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
. ^zz++++=.001),
001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tasks ^nns++++=tasks
4 ^zz++++=4-6
- ^zz++++=EXTRAWORD
6 ^zz++++=EXTRAWORD
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
. ^zz++++=.04).
04 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Figure ^nn++++=Figure
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
task ^nn++++=task
2 ^zz++++=2
exhibited ^vprf+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
proportion ^nn+nom+++=proportion
of ^in++++=of
dialogic ^jj+atrb+++=dialogic
utterances ^nns+nom+++=utterances,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
task ^nn++++=task
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
tasks ^nns++++=tasks
1 ^zz++++=1
and ^cc++++=and
6 ^zz++++=6
were ^vbd+bed+aux++=were
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
a ^at++++=a
greater ^jjr+atrb+++=greater
frequency ^nn++++=frequency
of ^in++++=of
non ^&fw++++=non-dialogic
- ^zz++++=EXTRAWORD
dialogic ^jj+atrb+++=EXTRAWORD
utterances ^nns+nom+++=utterances.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
dialogic ^jj+atrb+++=dialogic
utterances ^nns+nom+++=utterances
would ^md+prd+++=would
increase ^vb++++=increase
across ^in+pl+++=across
tasks ^nns++++=tasks
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
supported ^vbd+++xvbn+=supported.
. ^zz++++=EXTRAWORD
The ^ati++++=The
observed ^jj+atrb++xvbn+=observed
differences ^nns+nom+++=differences
between ^in++++=between
tasks ^nns++++=tasks
were ^vbd+bed+aux++=were
limited ^vpsv++agls+xvbnx+=limited
and ^cc++++=and
do ^vb+do+aux++=do
not ^xnot++not++=not
provide ^vb+vsua+++=provide
evidence ^nn+nom+++=evidence
of ^in++++=of
an ^at++++=an
intervention ^nn+nom+++=intervention
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
