During ^in++++=During
the ^ati++++=the
initial ^jj+atrb+++=initial
stage ^nn++++=stage
of ^in++++=of
establishment ^nn+nom+++=establishment
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
environment ^nn+nom+++=environment,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
between ^in++++=between
bromeliad ^nn+++??+=bromeliad
removal ^nn++++=removal
and ^cc++++=and
relocation ^nn+nom+++=relocation,
, ^zz++++=EXTRAWORD
nutritional ^jj+atrb+++=nutritional
deficiency ^nn++++=deficiency
may ^md+pos+++=may
occur ^vb++++=occur
due ^jj++++=due
to ^to+jcmp+++=to
limited ^vbi++++=limited
nutrient ^jj+atrb+++=nutrient
availability ^nn+nom+++=availability.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
deficiency ^nn++++=deficiency
can ^md+pos+++=can
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
inactivation ^nn+nom+++=inactivation
of ^in++++=of
the ^ati++++=the
apical ^jj+atrb+++=apical
bud ^nn++++=bud
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
stimulate ^nn+nom+++=stimulate
the ^ati++++=the
production ^nn+nom+++=production
of ^in++++=of
axillary ^nn+nom+++=axillary
sprouts ^nns++++=sprouts.
. ^zz++++=EXTRAWORD
Freitas ^np++++=Freitas
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
leaf ^nn++++=leaf
loss ^nn++++=loss
observed ^vbd+++xvbn+=observed
during ^in++++=during
establishment ^nn+nom+++=establishment
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
environment ^nn+nom+++=environment
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
natural ^jj+atrb+++=natural
senescence ^nn+nom+++=senescence
or ^cc++++=or
represent ^vb++++=represent
an ^at++++=an
adaptive ^jj+atrb+++=adaptive
response ^nn++++=response.
. ^zz++++=EXTRAWORD
