To ^in++++=To
address ^nns+nom+++=address
the ^ati++++=the
gap ^nn++++=gap
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
insufficient ^jj+atrb+++=insufficient
training ^nn++++=training,
, ^zz++++=EXTRAWORD
experienced ^jj+atrb++xvbn+=experienced
teachers ^nns+nom+++=teachers
highlighted ^vbd+++xvbn+=highlighted
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
professional ^jj+atrb+++=professional
experience ^nn+nom+++=experience
in ^in++++=in
developing ^xvbg+++xvbg+=developing
both ^abx++++=both
emotional ^jj+atrb+++=emotional
and ^cc+phrs+++=and
pedagogical ^jj+atrb+++=pedagogical
competencies ^nns+++??+=competencies.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
novice ^nn++++=novice
teachers ^nns+nom+++=teachers
tended ^vbd+++xvbn+=tended
to ^to+vcmp+++=to
depend ^vbi++++=depend
on ^in++++=on
social ^jj+atrb+++=social
support ^nn++++=support;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
support ^nn++++=support
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
consistently ^rb++++=consistently
available ^jj++++=available,
, ^zz++++=EXTRAWORD
as ^ql++++=as
many ^ap++++=many
reported ^jj+atrb++xvbn+=reported
limited ^jj+atrb++xvbn+=limited
assistance ^nn+nom+++=assistance
from ^in++++=from
colleagues ^nns++++=colleagues
and ^cc++++=and
supervisors ^nns++++=supervisors.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
support ^nn++++=support
Sutton ^np++++=Sutton's
's ^$++++=EXTRAWORD
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
assertion ^nn+nom+++=assertion
that ^tht+ncmp+++=that
teachers ^nns+nom+++=teachers
primarily ^rb+down+++=primarily
acquire ^vb++++=acquire
skills ^nns++++=skills
for ^in++++=for
regulating ^vbg+++xvbg+=regulating
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
through ^in++++=through
direct ^jj+atrb+++=direct
classroom ^nn++++=classroom
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
