Emotional ^jj+atrb+++=Emotional
labor ^nn++++=labor
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
a ^at++++=a
form ^nn++++=form
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
undertaken ^vwbn+++xvbn+=undertaken
in ^in++++=in
response ^nn++++=response
to ^in++++=to
emotional ^jj+atrb+++=emotional
demands ^nns++++=demands
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
achieve ^vb++++=achieve
work ^nn++++=work-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
outcomes ^nns+++??+=outcomes
( ^zz++++=(Grandey,
grandey ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Mallory ^np++++=Mallory
& ^zz++++=&
Rupp ^np+++??+=Rupp,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Grandey ^np+++??+=Grandey
s ^zz++++=s
( ^zz++++=(2000)
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
integrative ^jj+atrb+++=integrative
model ^nn++++=model
of ^in++++=of
emotional ^jj+atrb+++=emotional
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
events ^nns++++=events
and ^cc++++=and
emotion ^nn+nom+++=emotion
rules ^nns++++=rules
within ^in++++=within
the ^ati++++=the
work ^nn++++=work
environment ^nn+nom+++=environment
initiate ^nn+nom+++=initiate
and ^cc++++=and
direct ^jj+atrb+++=direct
employees ^nns+nom+++=employees
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
processes ^nns+nom+++=processes,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
influencing ^vbg+++xvbg+=influencing
the ^ati++++=the
choice ^nn++++=choice
and ^cc++++=and
application ^nn+nom+++=application
of ^in++++=of
specific ^jj+atrb+++=specific
regulatory ^nn++++=regulatory
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
Emotion ^nn+nom+++=Emotion
regulation ^nn+nom+++=regulation
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
modulation ^nn+nom+++=modulation
of ^in++++=of
various ^jj+atrb+++=various
aspects ^nns++++=aspects
of ^in++++=of
an ^at++++=an
emotional ^jj+atrb+++=emotional
episode ^nn++++=episode,
, ^zz++++=EXTRAWORD
including ^in++++=including
its ^pp$+it+++=its
context ^nn++++=context,
, ^zz++++=EXTRAWORD
intensity ^nn+nom+++=intensity,
, ^zz++++=EXTRAWORD
valence ^nn+nom+++=valence,
, ^zz++++=EXTRAWORD
frequency ^nn++++=frequency,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nns+nom+++=process
involves ^vbz++++=involves
physiological ^jj++++=physiological,
, ^zz++++=EXTRAWORD
behavioral ^jj++++=behavioral,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cognitive ^jj+atrb+++=cognitive
components ^nns++++=components
( ^zz++++=(Aldao,
aldao ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015)
) ^zz++++=EXTRAWORD
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+aux++=be
initiated ^vpsv++agls+xvbnx+=initiated
either ^dtx++++=either
automatically ^rb++++=automatically
or ^cc+phrs+++=or
deliberately ^rb++++=deliberately
when ^wrb+who+++=when
emotions ^nns+nom+++=emotions
are ^vb+ber+aux++=are
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
maladaptive ^jj++++=maladaptive
or ^cc+phrs+++=or
inappropriate ^jj++++=inappropriate
in ^in++++=in
a ^at++++=a
particular ^jj+atrb+++=particular
context ^nn++++=context
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
