These ^dt+dem+++=These
archives ^nn++++=archives
are ^vb+ber+vrb++=are
currently ^rb++++=currently
available ^jj+pred+++=available
in ^in++++=in
English ^jj++++=English
( ^zz++++=(ELAR)
elar ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
in ^in++++=in
both ^abx++++=both
English ^jj++++=English
and ^cc+phrs+++=and
Spanish ^jj++++=Spanish
( ^zz++++=(AILLA),
ailla ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
yet ^rb++++=yet
provide ^vb+vsua+++=provide
access ^nn++++=access
information ^nn+nom+++=information
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
limits ^nns++++=limits
accessibility ^nn+nom+++=accessibility
for ^in++++=for
Paresi ^np+++??+=Paresi
and ^cc++++=and
Enenawe ^np+++??+=Enenawe
Nawe ^np+++??+=Nawe
community ^nn+nom+++=community
members ^nns+nom+++=members.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
plan ^vb++++=plan
to ^to+vcmp+++=to
make ^vbi++++=make
these ^dt+dem+++=these
collections ^nns+nom+++=collections
available ^jj++++=available
through ^in++++=through
regional ^jj+atrb+++=regional
digital ^jj+atrb+++=digital
archives ^nn++++=archives
located ^vwbn+++xvbn+=located
closer ^rbr++++=closer
to ^in++++=to
the ^ati++++=the
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
housed ^vbd+++xvbn+=housed
at ^rb++++=at
institutions ^nns+nom+++=institutions
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
( ^zz++++=(UFMT),
ufmt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
intercultural ^jj+atrb+++=intercultural
colleges ^nns++++=colleges,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
indigenous ^jj+atrb+++=indigenous
schools ^nns++++=schools.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
would ^md+prd+++=would
enable ^vb++++=enable
speakers ^nns+nom+++=speakers
to ^in++++=to
have ^vbi++vrb++=have
direct ^rb++++=direct
physical ^jj+atrb+++=physical
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
servers ^nns+nom+++=servers
where ^wrb+who+++=where
the ^ati++++=the
materials ^nns+nom+++=materials
are ^vb+ber+aux++=are
stored ^vpsv++agls+xvbnx+=stored,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn+nom+++=addition
to ^in"++++=to
facilitating ^vbg+++xvbg+=facilitating
easier ^jjr+atrb+++=easier
internet ^nn++++=internet
access ^nn++++=access.
. ^zz++++=EXTRAWORD
