In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
scheme ^nn++++=scheme
enabled ^vbd+++xvbn+=enabled
the ^ati++++=the
systematic ^jj+atrb+++=systematic
description ^nn+nom+++=description
of ^in++++=of
classroom ^nn++++=classroom
talk ^nn++++=talk
and ^cc++++=and
the ^ati++++=the
evaluation ^nn+nom+++=evaluation
of ^in++++=of
dialogicity ^nn+nom+++=dialogicity,
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
central ^jj+pred+++=central
to ^in++++=to
the ^ati++++=the
research ^nn++++=research
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
Classroom ^nn++++=Classroom
talk ^nn++++=talk
was ^vbd+bedz+aux++=was
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
comparing ^xvbg+++xvbg+=comparing
the ^ati++++=the
relative ^jj+atrb+++=relative
frequencies ^nns++++=frequencies
of ^in++++=of
coded ^vbd+++xvbn+=coded
utterances ^nns+nom+++=utterances
across ^in+pl+++=across
different ^jj+atrb+++=different
contexts ^nns++++=contexts
( ^zz++++=(content,
content ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
instruction ^nn+nom+++=instruction,
, ^zz++++=EXTRAWORD
off ^rp+pl+++=off-topic),
- ^zz++++=EXTRAWORD
topic ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
dialogicity ^nn+nom+++=dialogicity
was ^vbd+bedz+aux++=was
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
analyzing ^xvbg+++xvbg+=analyzing
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
dialogic ^jj+atrb+++=dialogic
utterances ^nns+nom+++=utterances
relative ^jj++++=relative
to ^in++++=to
simple ^jj+atrb+++=simple
utterances ^nns+nom+++=utterances.
. ^zz++++=EXTRAWORD
