Some ^dti++++=Some
club ^nn++++=club
organisers ^nns+nom+++=organisers
and ^cc++++=and
managers ^nns+nom+++=managers
integrated ^vwbn+++xvbn+=integrated
Timorese ^np+nom++??+=Timorese
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices
and ^cc++++=and
values ^nns++++=values
into ^in++++=into
the ^ati++++=the
management ^nn+nom+++=management
of ^in++++=of
club ^nn++++=club
funds ^nns++++=funds,
, ^zz++++=EXTRAWORD
as ^in++++=as
exemplified ^nn++++=exemplified
by ^in++++=by
the ^ati++++=the
Fc ^np+++??+=FC
Lao ^np++++=Lao
Rai ^np+++??+=Rai
club ^nn++++=club.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
integration ^nn+nom+++=integration
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
during ^in++++=during
an ^at++++=an
interview ^nn++++=interview
with ^in++++=with
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
club ^nn++++=club
managers ^nns+nom+++=managers
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
Mfb ^np+++??+=MFB,
, ^zz++++=EXTRAWORD
June ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
manager ^nn++++=manager,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
communicated ^vbd+++xvbn+=communicated
in ^in++++=in
a ^at++++=a
mixture ^nn++++=mixture
of ^in++++=of
Tetum ^np+++??+=Tetum,
, ^zz++++=EXTRAWORD
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
English ^nn++++=English,
, ^zz++++=EXTRAWORD
explained ^vb+++xvbn+=explained
that ^tht+vcmp+++=that
the ^ati++++=the
club ^nn++++=club
addressed ^vbd+++xvbn+=addressed
the ^ati++++=the
welfare ^nn++++=welfare
of ^in++++=of
its ^pp$+it+++=its
players ^nns+nom+++=players
beyond ^in++++=beyond
football ^nn++++=football-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
matters ^nns+nom+++=matters.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
member ^nn++++=member
required ^vbd+++xvbn+=required
financial ^jj+atrb+++=financial
assistance ^nn+nom+++=assistance
for ^in++++=for
a ^at++++=a
return ^vb++++=return
trip ^nn++++=trip
to ^in++++=to
Timor ^np+++??+=Timor-Leste,
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^in++++=such
as ^in++++=as
for ^in"++++=for
attending ^vbg+++xvbg+=attending
a ^at++++=a
family ^nn++++=family
funeral ^nn++++=funeral,
, ^zz++++=EXTRAWORD
the ^ati++++=the
club ^nn++++=club
allocated ^vwbn+++xvbn+=allocated
funds ^nns++++=funds
to ^to++++=to
help ^vbi++++=help
cover ^vb++++=cover
the ^ati++++=the
airfare ^nn+++??+=airfare.
. ^zz++++=EXTRAWORD
The ^ati++++=The
manager ^nn++++=manager
explicitly ^rb++++=explicitly
linked ^vbd+++xvbn+=linked
this ^dt+dem+++=this
practice ^nn++++=practice
to ^in++++=to
the ^ati++++=the
Timorese ^np+nom++??+=Timorese
cultural ^jj+atrb+++=cultural
concept ^nn++++=concept
of ^in++++=of
lia ^nn+++??+=lia
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
lia ^nn+++??+=lia
moris ^nns+++??+=moris,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompasses ^vbz++++=encompasses
customary ^jj+atrb+++=customary
obligations ^nns+nom+++=obligations
and ^cc++++=and
rituals ^nns+nom+++=rituals
( ^zz++++=(lia)
lia ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
associated ^vbd+++xvbn+=associated
with ^in++++=with
death ^nn++++=death
( ^zz++++=(mate)
mate ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
life ^nn++++=life
( ^zz++++=(moris)
moris ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
within ^in++++=within
extended ^jj+atrb++xvbn+=extended
families ^nns++++=families.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
obligations ^nns+nom+++=obligations
are ^vb+ber+vrb++=are
central ^jj+pred+++=central
to ^in++++=to
the ^ati++++=the
social ^jj+atrb+++=social
organisation ^nn+nom+++=organisation
of ^in++++=of
Timorese ^np+nom++??+=Timorese
communities ^nns+nom+++=communities
both ^abx++++=both
in ^in++++=in
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
diaspora ^nn++++=diaspora,
, ^zz++++=EXTRAWORD
involving ^vbg+++xvbg+=involving
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
material ^nn++++=material
and ^cc++++=and
moral ^jj+atrb+++=moral
support ^nn++++=support
during ^in++++=during
events ^nns++++=events
such ^abl++++=such
as ^ql++++=as
funerals ^nns+nom+++=funerals,
, ^zz++++=EXTRAWORD
weddings ^nns++++=weddings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
christenings ^nns+++??+=christenings.
. ^zz++++=EXTRAWORD
All ^abn++++=All
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
Lao ^np++++=Lao
Rai ^np+++??+=Rai
