Among ^in++++=Among
the ^ati++++=the
1,720 ^cd++++=1,720
journals ^nns+nom+++=journals
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
Oliva ^np+++??+=OLIVA
database ^nn+++??+=database,
, ^zz++++=EXTRAWORD
899 ^cd++++=899
distinct ^jj+atrb+++=distinct
publishers ^nns+nom+++=publishers
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
high ^jj+atrb+++=high
level ^nn++++=level
of ^in++++=of
diversity ^nn+nom+++=diversity
within ^in++++=within
the ^ati++++=the
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
publishing ^jj+atrb++xvbg+=publishing
landscape ^nn++++=landscape.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
38 ^cd++++=38%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
journals ^nns+nom+++=journals
are ^vb+ber+aux++=are
published ^vpsv++by+xvbnx+=published
by ^in++++=by
only ^rb+down+++=only
53 ^cd++++=53
large ^jj+atrb+++=large
universities ^nns+nom+++=universities,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
62 ^cd++++=62%
% ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
distributed ^vpsv++agls+xvbnx+=distributed
among ^in++++=among
846 ^cd++++=846
other ^ap++++=other
institutions ^nns+nom+++=institutions.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
institutions ^nns+nom+++=institutions
responsible ^jj++++=responsible
for ^in++++=for
publishing ^nn++++=publishing
the ^ati++++=the
largest ^jjt+atrb+++=largest
number ^nn++++=number
of ^in++++=of
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
