According ^in+cmpx+++=According
to ^in++++=to
Coesel ^np+++??+=Coesel
and ^cc++++=and
Meesters ^nns+nom++??+=Meesters
( ^zz++++=(2007),
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
variety ^nn++++=variety
differs ^nns+nom+++=differs
from ^in++++=from
the ^ati++++=the
typical ^jj+atrb+++=typical
form ^nn++++=form
by ^in++++=by
exhibiting ^xvbg+++xvbg+=exhibiting
smaller ^jjr+atrb+++=smaller
cell ^nn++++=cell
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
length ^nn++++=length
of ^in++++=of
( ^zz++++=(12
12 ^cd++++=EXTRAWORD
) ^zz++++=)29
29 ^cd++++=EXTRAWORD
30 ^cd++++=30
m ^zz++++=m
and ^cc++++=and
a ^at++++=a
breadth ^nn++++=breadth
of ^in++++=of
( ^zz++++=(9
9 ^zz++++=EXTRAWORD
) ^zz++++=)18
18 ^cd++++=EXTRAWORD
25 ^cd++++=25
m ^zz++++=m.
. ^zz++++=EXTRAWORD
