Teachers ^nns+nom+++=Teachers
often ^rb++++=often
seek ^vb++++=seek
to ^to+vcmp+++=to
prevent ^vbi++++=prevent,
, ^zz++++=EXTRAWORD
anticipate ^nn+nom+++=anticipate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prepare ^vb++++=prepare
for ^in++++=for
events ^nns++++=events
that ^tht+rel+obj++=that
may ^md+pos+++=may
arise ^vb++++=arise
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom
( ^zz++++=(Taxer
taxer ^jjr++++=EXTRAWORD
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
situations ^nns+nom+++=situations
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
limited ^vprf+++xvbnx+=limited
choice ^nn++++=choice
or ^cc++++=or
influence ^nn+nom+++=influence,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
engage ^vb++++=engage
in ^in++++=in
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
to ^to++++=to
adjust ^vbi++++=adjust
both ^abx++++=both
their ^pp$+pp3+++=their
own ^ap++++=own
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses
and ^cc++++=and
those ^dt+dem+++=those
of ^in++++=of
their ^pp$+pp3+++=their
students ^nns++++=students
( ^zz++++=(Akbari
akbari ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
preventive ^jj+atrb+++=preventive
strategies ^nns+++??+=strategies
are ^vb+ber+vrb++=are
no ^at++++=no
longer ^rbr++++=longer
feasible ^jj++++=feasible
due ^jj++++=due
to ^in+jcmp+++=to
insufficient ^jj+atrb+++=insufficient
resources ^nns++++=resources
or ^cc+cls+++=or
when ^wrb+who+++=when
faced ^xvbn+++xvbn+=faced
with ^in++++=with
highly ^rb+amp+++=highly
adverse ^jj+atrb+++=adverse
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
typically ^rb++++=typically
employ ^vb++++=employ
reactive ^jj+atrb+++=reactive
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
aims ^vb++++=aims
to ^to+vcmp+++=to
control ^vb++++=control
impulsive ^jj+atrb+++=impulsive
actions ^nns+nom+++=actions
associated ^vbd+++xvbn+=associated
with ^in++++=with
unwanted ^jj+atrb+++=unwanted
emotions ^nns+nom+++=emotions
and ^cc++++=and
to ^to++++=to
mitigate ^nn+nom+++=mitigate
their ^pp$+pp3+++=their
effects ^nns++++=effects
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
