Multivariate ^np+nom++??+=Multivariate
normality ^nn+nom+++=normality
was ^vbd+bedz+aux++=was
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
estimating ^xvbg+++xvbg+=estimating
skewness ^nns+nom+++=skewness
and ^cc++++=and
kurtosis ^nns+++??+=kurtosis
indices ^nns++++=indices;
; ^zz++++=EXTRAWORD
the ^ati++++=the
assumption ^nn+nom+++=assumption
of ^in++++=of
normality ^nn+nom+++=normality
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
satisfied ^vbd+++xvbn+=satisfied
when ^wrb+who+++=when
the ^ati++++=the
values ^nns++++=values
of ^in++++=of
these ^dt+dem+++=these
indices ^nns++++=indices
fell ^vbd+++xvbn+=fell
within ^in++++=within
the ^ati++++=the
threshold ^nn++++=threshold
of ^in++++=of
1.5 ^cd++++=1.5
( ^zz++++=(Cuadras,
cuadras ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016)
) ^zz++++=EXTRAWORD
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Kaiser ^npt++++=Kaiser-Meyer-Olkin
- ^zz++++=EXTRAWORD
meyer ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
olkin ^nn+++??+=EXTRAWORD
( ^zz++++=(KMO)
kmo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
test ^nn++++=test
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
value ^nn++++=value
of ^in++++=of
0.81 ^nn+++??+=0.81,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
the ^ati++++=the
data ^nns++++=data
were ^vbd+bed+vrb++=were
suitable ^jj+pred+++=suitable
for ^in++++=for
factor ^nn++++=factor
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
