Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Taxer ^np+++??+=Taxer
and ^cc++++=and
Gross ^jj++++=Gross
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
frequently ^rb++++=frequently
employ ^vb++++=employ
multiple ^jj+atrb+++=multiple
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
simultaneously ^rb+tm+++=simultaneously.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
Taxer ^np+++??+=Taxer
and ^cc++++=and
Gross ^jj++++=Gross
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
attention ^nn+nom+++=attention
deployment ^nn+nom+++=deployment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
current ^jj+atrb+++=current
study ^nn++++=study
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
prominent ^jj+pred+++=prominent
and ^cc+phrs+++=and
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
relational ^jj+atrb+++=relational
coping ^nvbg+++xvbg+=coping.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
confronted ^xvbn+++xvbn+=confronted
with ^in++++=with
challenging ^xvbg+++xvbg+=challenging
situations ^nns+nom+++=situations
and ^cc++++=and
discussing ^vbg+++xvbg+=discussing
these ^dt+dem+++=these
events ^nns++++=events
with ^in++++=with
students ^nns++++=students,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
may ^md+pos+++=may
both ^abx++++=both
influence ^nn+nom+++=influence
students ^nns++++=students
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
( ^zz++++=(hetero-regulation)
hetero ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
reinterpret ^vb++++=reinterpret
adverse ^jj+atrb+++=adverse
circumstances ^nns+nom+++=circumstances
themselves ^ppls+pp3+++=themselves
( ^zz++++=(self-regulation).
self ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
most ^ql+emph+++=most
notable ^jj+atrb+++=notable
association ^nn+nom+++=association
observed ^vbd+++xvbn+=observed
was ^vbd+bedz+vrb++=was
between ^in++++=between
situation ^nn+nom+++=situation
selection ^nn+nom+++=selection
( ^zz++++=(technical
technical ^jj+atrb+++=EXTRAWORD
approach ^nn++++=approach)
) ^zz++++=EXTRAWORD
and ^cc++++=and
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification
( ^zz++++=(technological
technological ^jj+atrb+++=EXTRAWORD
confrontation ^nn+nom+++=confrontation).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
draw ^vb++++=draw
on ^in+ppvb+++=on
prior ^jj+atrb+++=prior
experiences ^nns+nom+++=experiences
to ^to++++=to
anticipate ^nn+nom+++=anticipate
both ^abx++++=both
their ^pp$+pp3+++=their
own ^ap++++=own
and ^cc++++=and
their ^pp$+pp3+++=their
students ^nns++++=students
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
utilize ^vb++++=utilize
technical ^jj++++=technical-pedagogical
- ^zz++++=EXTRAWORD
pedagogical ^jj+atrb+++=EXTRAWORD
knowledge ^vb++++=knowledge
to ^to+vcmp+++=to
plan ^vb++++=plan
for ^in+ppvb+++=for,
, ^zz++++=EXTRAWORD
anticipate ^nn+nom+++=anticipate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
address ^nns+nom+++=address
negative ^jj+atrb+++=negative
situations ^nns+nom+++=situations
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
to ^to++++=to
modify ^vbi++++=modify
these ^dt+dem+++=these
situations ^nns+nom+++=situations
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
avoided ^vbd+++xvbn+=avoided.
. ^zz++++=EXTRAWORD
