During ^in++++=During
the ^ati++++=the
game ^nn++++=game,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
conducted ^vpsv++agls+xvbnx+=conducted
non ^&fw++++=non-verbally,
- ^zz++++=EXTRAWORD
verbally ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
players ^nns+nom+++=players
attempt ^nn++++=attempt
to ^to+ncmp+++=to
identify ^vbi++++=identify
and ^cc+phrs+++=and
exploit ^vb++++=exploit
unguarded ^jj+atrb+++=unguarded
areas ^nns++++=areas
on ^in++++=on
their ^pp$+pp3+++=their
opponent ^nn++++=opponent
s ^zz++++=s
body ^nn++++=body.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
player ^nn++++=player
may ^md+pos+++=may
target ^vb++++=target
the ^ati++++=the
exposed ^jj+atrb++xvbn+=exposed
abdomen ^nn++++=abdomen
of ^in++++=of
an ^at++++=an
opponent ^nn++++=opponent
performing ^vwbg+++xvbg+=performing
an ^at++++=an
a ^at++++=a
( ^zz++++=(cartwheel)
cartwheel ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
cabe ^nn+++??+=cabe
ada ^nn+++??+=ada,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
attempt ^nn++++=attempt
to ^to+ncmp+++=to
sweep ^vbi++++=sweep
the ^ati++++=the
opponent ^nn++++=opponent
s ^zz++++=s
leg ^nn++++=leg
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
executing ^vbg+++xvbgx+=executing
a ^at++++=a
kick ^nn++++=kick.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
many ^ap++++=many
other ^ap++++=other
martial ^jj+atrb+++=martial
arts ^nns++++=arts,
, ^zz++++=EXTRAWORD
capoeira ^nn+++??+=capoeira
emphasizes ^vbz+vpub+++=emphasizes
evasion ^nn+++??+=evasion
of ^in++++=of
attacks ^nns++++=attacks
rather ^rb++++=rather
than ^in++++=than
blocking ^xvbg+++xvbg+=blocking
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Typically ^rb+cnj+++=Typically,
, ^zz++++=EXTRAWORD
an ^at++++=an
experienced ^jj+atrb++xvbn+=experienced
capoeirista ^nn+++??+=capoeirista
is ^vbz+bez+aux++=is
adept ^jj+pred+++=adept
at ^rb++++=at
moving ^vbg+++xvbg+=moving
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
that ^tht+rel+subj++=that
minimizes ^vbz++++=minimizes
the ^ati++++=the
exposure ^nn++++=exposure
of ^in++++=of
vital ^jj+atrb+++=vital
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
their ^pp$+pp3+++=their
opponent ^nn++++=opponent
to ^to++++=to
execute ^vbi++++=execute
multiple ^jj+atrb+++=multiple
maneuvers ^nns+nom+++=maneuvers
before ^cs+sub+++=before
a ^at++++=a
viable ^jj+atrb+++=viable
opportunity ^nn+nom+++=opportunity
for ^in++++=for
attack ^nn++++=attack
arises ^vbz++++=arises.
. ^zz++++=EXTRAWORD
