These ^dt+dem+++=These
trends ^nns++++=trends
in ^in++++=in
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
exhibit ^vb++++=exhibit
some ^dti++++=some
variation ^nn+nom+++=variation
when ^wrb+who+++=when
the ^ati++++=the
analysis ^nn++++=analysis
is ^vbz+bez+aux++=is
disaggregated ^vpsv++by+xvbnx+=disaggregated
by ^in++++=by
the ^ati++++=the
country ^nn++++=country
of ^in++++=of
publication ^nn+nom+++=publication
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
Journals ^nns+nom+++=Journals
published ^vbd+++xvbn+=published
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Cuba ^np++++=Cuba,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Puerto ^np+++??+=Puerto
Rico ^np+++??+=Rico
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
38.6 ^cd++++=38.6%
% ^zz++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
articles ^nns++++=articles
authored ^vwbn+++xvbn+=authored
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
individual ^nn+nom+++=individual,
, ^zz++++=EXTRAWORD
a ^at++++=a
proportion ^nn+nom+++=proportion
significantly ^rb++++=significantly
lower ^jjr++++=lower
than ^in++++=than
the ^ati++++=the
overall ^jjb+atrb+++=overall
average ^nn+nom+++=average
for ^in++++=for
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
journals ^nns+nom+++=journals
in ^in++++=in
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
from ^in++++=from
Bolivia ^np+++??+=Bolivia
and ^cc++++=and
Ecuador ^np+++??+=Ecuador
are ^vb+ber+aux++=are
predominantly ^rb++splt++=predominantly
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
single ^jj+atrb+++=single
authorship ^nn+nom+++=authorship,
, ^zz++++=EXTRAWORD
with ^in++++=with
rates ^nns++++=rates
of ^in++++=of
76.8 ^cd++++=76.8%
% ^zz++++=EXTRAWORD
and ^cc++++=and
77.4 ^cd++++=77.4%,
