As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Figure ^nn++++=Figure
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
66 ^cd++++=66%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
are ^vb+ber+aux++=are
edited ^vpsv++by+xvbnx+=edited
by ^in++++=by
universities ^nns+nom+++=universities,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
by ^in++++=by
governmental ^jj+atrb+++=governmental
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
by ^in++++=by
scientific ^jj+atrb+++=scientific
societies ^nns++++=societies
and ^cc++++=and
independent ^jj+atrb+++=independent
research ^nn++++=research
centers ^nns+nom+++=centers.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
data ^nns++++=data
indicate ^nn+nom+++=indicate
a ^at++++=a
predominance ^nn+nom+++=predominance
of ^in++++=of
academic ^jj+atrb+++=academic
and ^cc+phrs+++=and
public ^jj+atrb+++=public
sector ^nn++++=sector
management ^nn+nom+++=management
among ^in++++=among
journal ^nn++++=journal
publishers ^nns+nom+++=publishers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
also ^rb++++=also
identified ^vbd+++xvbn+=identified
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
commercial ^jj+atrb+++=commercial
publishers ^nns+nom+++=publishers,
, ^zz++++=EXTRAWORD
with ^in++++=with
local ^jj++++=local
or ^cc+phrs+++=or
national ^jj+atrb+++=national
commercial ^jj+atrb+++=commercial
publishers ^nns+nom+++=publishers
representing ^vwbg+++xvbg+=representing
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
and ^cc++++=and
major ^jj+atrb+++=major
commercial ^jj+atrb+++=commercial
publishers ^nns+nom+++=publishers
accounting ^vwbg+++xvbg+=accounting
for ^in++++=for
2.5 ^cd++++=2.5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
category ^nn++++=category
of ^in++++=of
local ^jj+atrb+++=local
commercial ^jj+atrb+++=commercial
publishers ^nns+nom+++=publishers,
, ^zz++++=EXTRAWORD
journals ^nns+nom+++=journals
in ^in++++=in
medicine ^nn++++=medicine
and ^cc++++=and
health ^nn++++=health
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj++++=prevalent,
, ^zz++++=EXTRAWORD
with ^in++++=with
ecimed ^np++++=ECIMED
representing ^vbg+++xvbg+=representing
a ^at++++=a
significant ^jj+atrb+++=significant
share ^nn++++=share
in ^in++++=in
this ^dt+dem+++=this
segment ^nn+nom+++=segment.
. ^zz++++=EXTRAWORD
