Regarding ^in++++=Regarding
home ^nr++++=home
access ^nn++++=access,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
quantitative ^jj+atrb+++=quantitative
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
67 ^cd++++=67%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
population ^nn+nom+++=population
over ^in++++=over
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
10 ^cd++++=10
has ^vbz+hvz+vrb++=has
internet ^jj+atrb++??+=internet
access ^nn++++=access
and ^cc++++=and
more ^rbr++++=more
than ^in++++=than
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
possess ^nns+nom+++=possess
cell ^nn++++=cell
phones ^nns++++=phones
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2018a ^cd++++=2018a,
, ^zz++++=EXTRAWORD
2019a ^cd++++=2019a),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
analysis ^nn++++=analysis
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
identify ^vbi++++=identify
existing ^jj+atrb++xvbg+=existing
limitations ^nns+nom+++=limitations
and ^cc++++=and
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
investment ^nn+nom+++=investment
still ^rb+atrb+++=still
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
for ^in++++=for
lower ^jjr+atrb+++=lower
socioeconomic ^jj+atrb+++=socioeconomic
groups ^nns++++=groups
who ^whp+rel+subj++=who
may ^md+pos+++=may
depend ^vb++++=depend
on ^in++++=on
digital ^jj+atrb+++=digital
environments ^nns+nom+++=environments
for ^in++++=for
distance ^nn+nom+++=distance
learning ^vwbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
households ^nns++++=households
with ^in++++=with
internet ^nn+++??+=internet
access ^nn++++=access,
, ^zz++++=EXTRAWORD
56 ^cd++++=56%
% ^zz++++=EXTRAWORD
rely ^vb++++=rely
primarily ^rb+down+++=primarily
on ^in++++=on
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
streaming ^nn++++=streaming
services ^nns++++=services
( ^zz++++=(Idem).
idem ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
figures ^nns++++=figures
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
internet ^nn+++??+=internet
access ^nn++++=access
is ^vbz+bez+aux++=is
often ^rb++splt++=often
limited ^vpsv++agls+xvbnx+=limited
and ^cc+phrs+++=and
shared ^vpsv++agls+xvbn+=shared
among ^in++++=among
family ^nn++++=family
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
bandwidth ^nn+++??+=bandwidth
and ^cc++++=and
available ^jj+atrb+++=available
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones
alone ^rb++++=alone
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
inadequate ^jj+pred+++=inadequate
for ^in++++=for
educational ^jj+atrb+++=educational
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
